Quarter,Time,Tm,Detail,SEA,PHI
2.0,10:56,Seahawks,David Moore 1 yard pass from Russell Wilson (Jason Myers kick),7,0
,5:27,Seahawks,Chris Carson 16 yard rush (Jason Myers kick),14,0
,0:12,Eagles,Dallas Goedert 3 yard pass from Carson Wentz (Jake Elliott kick failed),14,6
3.0,7:33,Eagles,Jake Elliott 42 yard field goal,14,9
,2:06,Seahawks,Jason Myers 44 yard field goal,17,9
4.0,11:08,Seahawks,Jason Myers 33 yard field goal,20,9
,1:13,Seahawks,Jason Myers 39 yard field goal,23,9
,0:12,Eagles,Richard Rodgers 33 yard pass from Carson Wentz (Miles Sanders run),23,17
