Quarter,Time,Down,ToGo,Location,SEA,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 66 yards, returned by Boston Scott for 20 yards (tackle by Cody Barton and Ryan Neal)",0.000,0.150
1,14:54,1,10,PHI 19,0,0,"Penalty on Jarran Reed: Neutral Zone Infraction, 5 yards (no play)",0.150,0.940
1,14:54,1,5,PHI 24,0,0,Carson Wentz pass incomplete short right intended for Richard Rodgers (defended by Jordyn Brooks),0.940,0.340
1,14:50,2,5,PHI 24,0,0,Carson Wentz pass incomplete short middle intended for Greg Ward,0.340,-0.420
1,14:47,3,5,PHI 24,0,0,Carson Wentz pass incomplete short right intended for Alshon Jeffery,-0.420,-1.770
1,14:43,4,5,PHI 24,0,0,"Cameron Johnston punts 43 yards, returned by David Moore for 2 yards (tackle by T.J. Edwards)",-1.770,-1.270
1,14:31,1,10,SEA 35,0,0,"Russell Wilson pass complete short right to Chris Carson for 7 yards (tackle by T.J. Edwards). Penalty on Mike Iupati: Illegal Use of Hands, 10 yards (no play)",1.270,0.610
1,13:59,1,20,SEA 25,0,0,Russell Wilson pass complete short left to Chris Carson for 12 yards (tackle by Jalen Mills),0.610,0.990
1,13:27,2,8,SEA 37,0,0,Russell Wilson pass complete short middle to D.K. Metcalf for 13 yards (tackle by Alex Singleton),0.990,2.260
1,12:58,1,10,SEA 50,0,0,Carlos Hyde left end for 4 yards (tackle by Fletcher Cox),2.260,2.250
1,12:22,2,6,PHI 46,0,0,Carlos Hyde left end for 1 yard (tackle by Duke Riley),2.250,1.690
1,11:51,3,5,PHI 45,0,0,Russell Wilson pass complete short right to D.K. Metcalf for 10 yards (tackle by Darius Slay),1.690,3.250
1,11:11,1,10,PHI 35,0,0,Chris Carson right tackle for 6 yards (tackle by Josh Sweat and Jalen Mills),3.250,3.510
1,10:32,2,4,PHI 29,0,0,Russell Wilson pass complete short middle to D.K. Metcalf for 8 yards (tackle by T.J. Edwards). Penalty on T.Y. McGill: Defensive Offside (Declined),3.510,4.170
1,10:08,1,10,PHI 21,0,0,Russell Wilson sacked by Fletcher Cox for -4 yards,4.170,3.090
1,9:26,2,14,PHI 25,0,0,"Chris Carson up the middle for 3 yards (tackle by Duke Riley). Penalty on Darius Slay: Unsportsmanlike Conduct, 11 yards",3.090,4.840
1,8:59,1,10,PHI 11,0,0,"David Moore left end for 1 yard (tackle by Rodney McLeod). Penalty on Malik Jackson: Unnecessary Roughness, 5 yards",4.840,6.060
1,8:31,1,5,PHI 5,0,0,Carlos Hyde up the middle for 2 yards (tackle by Malik Jackson),6.060,5.530
1,7:46,2,3,PHI 3,0,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,5.530,4.720
