Unnamed: 0,SEA,PHI
First Downs,20,18
Rush-Yds-TDs,30-76-1,14-70-0
Cmp-Att-Yd-TD-INT,22-31-230-1-0,26-46-221-2-1
Sacked-Yards,2-5,6-41
Net Pass Yards,225,180
Total Yards,301,250
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,8-83,9-79
Third Down Conv.,2-10,8-17
Fourth Down Conv.,0-2,0-3
Time of Possession,32:57,27:03
