Quarter,Time,Tm,Detail,LVR,DEN
1.0,9:05,Broncos,Brandon McManus 22 yard field goal,0,3
,4:34,Raiders,Daniel Carlson 33 yard field goal,3,3
,0:17,Broncos,Troy Fumagalli 1 yard pass from Drew Lock (Brandon McManus kick),3,10
2.0,11:15,Raiders,Darren Waller 28 yard pass from Derek Carr (Daniel Carlson kick),10,10
,0:26,Raiders,Bryan Edwards 26 yard pass from Derek Carr (Daniel Carlson kick),17,10
3.0,11:21,Broncos,Brandon McManus 37 yard field goal,17,13
,3:07,Broncos,Brandon McManus 26 yard field goal,17,16
4.0,14:54,Broncos,Melvin Gordon 10 yard rush (Jerry Jeudy pass from Drew Lock),17,24
,7:27,Raiders,Josh Jacobs 28 yard rush (Daniel Carlson kick),24,24
,6:29,Broncos,Jerry Jeudy 92 yard pass from Drew Lock (Brandon McManus kick),24,31
,0:24,Raiders,Josh Jacobs 1 yard rush (Darren Waller pass from Derek Carr),32,31
