Quarter,Time,Tm,Detail,DEN,GNB
1.0,12:16,Packers,Marquez Valdes-Scantling 40 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,14:18,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),7,7
,11:19,Packers,Mason Crosby 42 yard field goal,7,10
,3:50,Broncos,Brandon McManus 30 yard field goal,10,10
,1:56,Packers,Aaron Jones 7 yard rush (Mason Crosby kick),10,17
3.0,12:09,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),10,24
,5:59,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick failed),16,24
4.0,5:49,Packers,Mason Crosby 41 yard field goal,16,27
