Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
1,9:42,1,10,GNB 37,0,7,Aaron Rodgers pass incomplete short middle intended for Geronimo Allison,1.400,0.860
1,9:38,2,10,GNB 37,0,7,"Penalty on Elgton Jenkins: False Start, 5 yards (no play)",0.860,0.180
1,9:38,2,15,GNB 32,0,7,Aaron Rodgers pass incomplete short right intended for Robert Tonyan,0.180,-0.490
1,9:33,3,15,GNB 32,0,7,Aaron Rodgers pass complete deep left to Marquez Valdes-Scantling for 28 yards (tackle by Trey Marshall),-0.490,2.920
1,8:56,1,10,DEN 40,0,7,Aaron Jones right end for -3 yards (tackle by Kareem Jackson),2.920,1.970
1,8:15,2,13,DEN 43,0,7,Aaron Rodgers pass incomplete deep left intended for Robert Tonyan,1.970,1.290
1,8:07,,,,,,Timeout #1 by Green Bay Packers,,
1,8:07,3,13,DEN 43,0,7,Aaron Rodgers pass incomplete short middle intended for Geronimo Allison,1.290,0.400
1,8:02,4,13,DEN 43,0,7,"JK Scott punts 35 yards, fair catch by Diontae Spencer at DEN-8. Penalty on Tony Brown: Fair Catch Interference, 15 yards",0.400,-0.480
1,7:53,1,10,DEN 23,0,7,Joe Flacco pass incomplete short left intended for Andrew Beck,0.480,-0.070
1,7:49,2,10,DEN 23,0,7,Joe Flacco pass complete short left to Courtland Sutton for 16 yards (tackle by Will Redmond and Kevin King),-0.070,1.530
1,7:06,1,10,DEN 39,0,7,Royce Freeman right tackle for 3 yards (tackle by Tyler Lancaster),1.530,1.390
1,6:27,2,7,DEN 42,0,7,Joe Flacco pass complete short right to Emmanuel Sanders for 4 yards (tackle by Adrian Amos),1.390,1.220
1,5:47,3,3,DEN 46,0,7,Phillip Lindsay left tackle for 8 yards (tackle by Adrian Amos),1.220,2.520
1,5:04,1,10,GNB 46,0,7,Phillip Lindsay up the middle for 9 yards (tackle by Darnell Savage),2.520,3.190
1,4:28,2,1,GNB 37,0,7,Phillip Lindsay left guard for 2 yards (tackle by Kyler Fackrell),3.190,3.250
1,3:56,1,10,GNB 35,0,7,Joe Flacco pass complete short middle to Phillip Lindsay for 5 yards (tackle by Blake Martinez),3.250,3.380
1,3:19,2,5,GNB 30,0,7,Royce Freeman up the middle for 2 yards (tackle by Blake Martinez),3.380,2.940
1,2:35,3,3,GNB 28,0,7,Joe Flacco left end for 3 yards (tackle by Blake Martinez),2.940,3.910
1,1:48,1,10,GNB 25,0,7,Joe Flacco pass complete short middle to Jeff Heuerman for 10 yards (tackle by Adrian Amos),3.910,4.580
1,1:06,1,10,GNB 15,0,7,Phillip Lindsay left tackle for 1 yard (tackle by Kenny Clark and Tyler Lancaster),4.580,4.110
1,0:28,2,9,GNB 14,0,7,Joe Flacco pass complete short right to Courtland Sutton for 10 yards (tackle by Jaire Alexander and Blake Martinez),4.110,6.280
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,4,GNB 4,0,7,Phillip Lindsay right tackle for 3 yards (tackle by Will Redmond),6.280,5.910
2,14:21,2,1,GNB 1,6,7,"Phillip Lindsay up the middle for 1 yard, touchdown",5.910,7.000
2,14:18,,,GNB 15,7,7,Brandon McManus kicks extra point good,0.000,0.000
2,14:18,,,DEN 35,7,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,14:18,1,10,GNB 25,7,7,Aaron Jones left guard for 3 yards (tackle by Derek Wolfe),0.610,0.470
2,13:38,2,7,GNB 28,7,7,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",0.470,-0.210
2,13:16,2,12,GNB 23,7,7,"Jamaal Williams left end for 12 yards (tackle by Josey Jewell). Penalty on Josey Jewell: Face Mask (15 Yards), 15 yards",-0.210,2.260
2,12:50,1,10,GNB 50,7,7,Aaron Rodgers pass complete deep right to Davante Adams for 22 yards (tackle by Chris Harris),2.260,3.710
2,12:36,1,10,DEN 28,7,7,Aaron Rodgers pass complete short middle to Davante Adams for 6 yards (tackle by Josey Jewell),3.710,3.980
2,12:04,2,4,DEN 22,7,7,Jamaal Williams up the middle for -2 yards (tackle by Bradley Chubb),3.980,3.010
2,11:27,3,6,DEN 24,7,7,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling (defended by De'Vante Bausby),3.010,1.890
2,11:23,4,6,DEN 24,7,10,Mason Crosby 42 yard field goal good,1.890,3.000
2,11:19,,,GNB 35,7,10,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,11:19,1,10,DEN 25,7,10,Phillip Lindsay right guard for 9 yards (tackle by Adrian Amos),0.610,1.280
2,10:40,2,1,DEN 34,7,10,Joe Flacco pass complete short middle to Noah Fant for 17 yards (tackle by Kevin King),1.280,2.320
2,10:05,1,10,GNB 49,7,10,Royce Freeman left guard for 4 yards (tackle by B.J. Goodson and Kenny Clark),2.320,2.320
2,9:26,2,6,GNB 45,7,10,Royce Freeman right tackle for 5 yards (tackle by Kevin King and Kenny Clark),2.320,2.280
2,8:42,3,1,GNB 40,7,10,Joe Flacco pass complete short right to Emmanuel Sanders for 6 yards (tackle by Adrian Amos),2.280,3.310
2,8:05,1,10,GNB 34,7,10,Phillip Lindsay left guard for 4 yards (tackle by B.J. Goodson and Tyler Lancaster),3.310,3.310
2,7:29,2,6,GNB 30,7,10,Joe Flacco pass complete short middle to Phillip Lindsay for 12 yards (tackle by Blake Martinez),3.310,4.370
2,6:47,1,10,GNB 18,7,10,"Royce Freeman right tackle for 13 yards. Penalty on Emmanuel Sanders: Offensive Holding, 10 yards",4.370,4.950
2,6:41,1,7,GNB 15,7,10,Phillip Lindsay left end for 6 yards (tackle by Kevin King),4.950,5.420
2,6:03,2,1,GNB 9,7,10,Royce Freeman right tackle for no gain (tackle by Dean Lowry),5.420,4.740
2,5:30,3,1,GNB 9,7,10,Joe Flacco up the middle for 2 yards (tackle by Dean Lowry),4.740,5.600
2,4:47,,,,,,Timeout #2 by Denver Broncos,,
2,4:46,1,7,GNB 7,7,10,Joe Flacco pass incomplete short left intended for Emmanuel Sanders (defended by Jaire Alexander),5.600,4.760
2,4:42,2,7,GNB 7,7,10,Phillip Lindsay left guard for 5 yards (tackle by Za'Darius Smith and Rashan Gary),4.760,4.950
2,4:08,3,2,GNB 2,7,10,Joe Flacco sacked by Za'Darius Smith for -10 yards Penalty on DEN: Illegal Shift (Declined),4.950,2.630
2,3:53,4,12,GNB 12,10,10,Brandon McManus 30 yard field goal good,2.630,3.000
2,3:50,,,DEN 35,10,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,3:50,1,10,GNB 25,10,10,Aaron Jones left end for 3 yards (tackle by Shelby Harris),0.610,0.470
2,3:13,2,7,GNB 28,10,10,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Josey Jewell),0.470,0.300
2,2:44,3,3,GNB 32,10,10,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling (defended by De'Vante Bausby),0.300,-1.240
2,2:35,4,3,GNB 32,10,10,"JK Scott punts 50 yards, fair catch by Diontae Spencer at DEN-18",-1.240,-0.040
2,2:27,1,10,DEN 18,10,10,"Joe Flacco sacked by Preston Smith for -13 yards. Joe Flacco fumbles (forced by Preston Smith), recovered by Rashan Gary at DEN-5 (tackle by Dalton Risner)",0.040,-6.060
2,2:17,1,5,DEN 5,10,10,Aaron Jones right end for -2 yards (tackle by Bradley Chubb),6.060,4.760
2,2:00,2,7,DEN 7,10,16,"Aaron Jones up the middle for 7 yards, touchdown",4.760,7.000
2,1:56,,,DEN 15,10,17,Mason Crosby kicks extra point good,0.000,0.000
2,1:56,,,GNB 35,10,17,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,1:56,1,10,DEN 25,10,17,Royce Freeman left end for 4 yards (tackle by Rashan Gary and Kevin King),0.610,0.600
2,1:24,2,6,DEN 29,10,17,Joe Flacco pass complete short right to Royce Freeman for -5 yards (tackle by Blake Martinez),0.600,-0.760
2,1:18,,,,,,Timeout #2 by Green Bay Packers,,
2,1:18,3,11,DEN 24,10,17,Phillip Lindsay right end for 7 yards (tackle by Jaire Alexander),-0.760,-1.310
2,1:13,4,4,DEN 31,10,17,Colby Wadman punts 59 yards out of bounds,-1.310,0.380
2,1:03,1,10,GNB 10,10,17,Jamaal Williams up the middle for 6 yards (tackle by Josey Jewell and Von Miller),-0.380,-0.230
2,0:24,2,4,GNB 16,10,17,"Jamaal Williams left guard for 1 yard (tackle by Todd Davis). Penalty on Corey Linsley: Offensive Holding, 8 yards (no play)",-0.230,-0.930
2,0:18,2,12,GNB 8,10,17,Aaron Rodgers kneels for -1 yards,-0.930,-1.770
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,17,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,10,17,Phillip Lindsay up the middle for 4 yards (tackle by Tyler Lancaster and Blake Martinez),0.610,0.600
3,14:27,2,6,DEN 29,10,17,Phillip Lindsay left guard for 4 yards (tackle by Darnell Savage),0.600,0.430
3,13:50,3,2,DEN 33,10,17,"Joe Flacco pass complete short right to Noah Fant for 4 yards (tackle by Jaire Alexander). Noah Fant fumbles (forced by Jaire Alexander), recovered by Jaire Alexander at DEN-37 (tackle by Noah Fant)",0.430,-3.120
3,13:44,1,10,DEN 37,10,17,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 9 yards (tackle by Kareem Jackson),3.120,3.790
3,13:05,2,1,DEN 28,10,17,Aaron Rodgers pass complete deep left to Danny Vitale for 27 yards (tackle by Josey Jewell),3.790,6.970
3,12:18,1,1,DEN 1,10,17,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,6.970,5.910
3,12:15,2,1,DEN 1,10,23,"Aaron Jones right end for 1 yard, touchdown",5.910,7.000
3,12:09,,,DEN 15,10,24,Mason Crosby kicks extra point good,0.000,0.000
3,12:09,,,GNB 35,10,24,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,12:09,1,10,DEN 25,10,24,Royce Freeman left end for 12 yards (tackle by Rashan Gary and B.J. Goodson),0.610,1.400
3,11:25,1,10,DEN 37,10,24,Royce Freeman right end for -1 yards (tackle by Darnell Savage and Blake Martinez),1.400,0.720
3,10:48,2,11,DEN 36,10,24,Joe Flacco pass complete short left to Phillip Lindsay for 36 yards (tackle by Darnell Savage),0.720,3.710
3,10:02,1,10,GNB 28,10,24,Joe Flacco pass incomplete deep left intended for Courtland Sutton,3.710,3.170
3,9:56,,,,,,Timeout #1 by Denver Broncos,,
3,9:56,2,10,GNB 28,10,24,Phillip Lindsay left tackle for 4 yards (tackle by Will Redmond),3.170,3.010
3,9:20,3,6,GNB 24,10,24,Joe Flacco pass complete short right to Courtland Sutton for 6 yards (tackle by Jaire Alexander),3.010,4.370
3,8:46,1,10,GNB 18,10,24,Royce Freeman right guard for no gain (tackle by Preston Smith),4.370,3.800
3,8:13,2,10,GNB 18,10,24,Joe Flacco pass complete short right to Jeff Heuerman for 10 yards (tackle by Jaire Alexander),3.800,5.370
3,7:28,1,8,GNB 8,10,24,Royce Freeman right guard for 5 yards (tackle by Jaire Alexander and Kevin King),5.370,5.530
3,6:45,2,3,GNB 3,10,24,Phillip Lindsay left guard for 2 yards (tackle by Kenny Clark and Tyler Lancaster),5.530,5.170
3,6:08,3,1,GNB 1,10,24,Joe Flacco pass incomplete short left intended for Courtland Sutton,5.170,3.550
3,6:05,4,1,GNB 1,16,24,"Phillip Lindsay left guard for 1 yard, touchdown",3.550,7.000
3,5:59,,,GNB 15,16,24,Brandon McManus kicks extra point no good hit left upright,0.000,-1.000
3,5:59,,,DEN 35,16,24,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,5:59,1,10,GNB 25,16,24,"Aaron Jones left end for no gain (tackle by Josey Jewell). Penalty on Jimmy Graham: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,5:30,1,20,GNB 15,16,24,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,-0.410,-1.430
3,5:26,2,20,GNB 15,16,24,Aaron Rodgers pass incomplete short left intended for Jimmy Graham,-1.430,-2.350
3,5:21,3,20,GNB 15,16,24,Aaron Rodgers pass complete short left to Jamaal Williams for 17 yards (tackle by Justin Simmons and Trey Marshall),-2.350,-1.240
3,4:34,4,3,GNB 32,16,24,"JK Scott punts 66 yards, returned by Diontae Spencer for 3 yards (tackle by Ty Summers). Penalty on Davontae Harris: Illegal Block Above the Waist, 2 yards",-1.240,0.380
3,4:23,1,10,DEN 3,16,24,Phillip Lindsay right tackle for 2 yards (tackle by Dean Lowry and Blake Martinez),-0.380,-0.630
3,3:48,2,8,DEN 5,16,24,Phillip Lindsay right guard for 2 yards (tackle by Dean Lowry),-0.630,-0.950
3,3:06,3,6,DEN 7,16,24,Joe Flacco pass complete deep right to Courtland Sutton for 52 yards (tackle by Kevin King),-0.950,2.850
3,2:20,1,10,GNB 41,16,24,Royce Freeman right end for 3 yards (tackle by Blake Martinez),2.850,2.710
3,1:49,2,7,GNB 38,16,24,Joe Flacco pass short left intended for Emmanuel Sanders is intercepted by Darnell Savage at GB-28 and returned for no gain. Penalty on Ronald Leary: Offensive Holding (Declined),2.710,-0.810
3,1:43,1,10,GNB 28,16,24,Jamaal Williams right guard for 5 yards (tackle by Shelby Harris),0.810,0.940
3,1:00,2,5,GNB 33,16,24,Jamaal Williams right tackle for 6 yards (tackle by Von Miller),0.940,1.530
3,0:28,1,10,GNB 39,16,24,Aaron Rodgers pass incomplete short left intended for Marcedes Lewis,1.530,0.990
3,0:25,2,10,GNB 39,16,24,Aaron Rodgers pass incomplete short middle,0.990,0.300
3,0:22,3,10,GNB 39,16,24,Aaron Rodgers pass incomplete short left,0.300,-0.780
3,0:16,4,10,GNB 39,16,24,"JK Scott punts 61 yards, touchback.. Penalty on Josh Jackson: Illegal Formation, 5 yards",-0.780,-0.610
3,0:08,1,10,DEN 25,16,24,Phillip Lindsay right end for 5 yards (tackle by Darnell Savage and Will Redmond),0.610,0.740
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,DEN 30,16,24,Phillip Lindsay left end for no gain (tackle by Dean Lowry),0.740,0.040
4,14:16,3,5,DEN 30,16,24,Joe Flacco pass complete short left to Royce Freeman for 2 yards (tackle by Kevin King),0.040,-1.240
4,13:38,4,3,DEN 32,16,24,"Colby Wadman punts 42 yards, fair catch by Darrius Shepherd at GB-26",-1.240,-0.670
4,13:30,1,10,GNB 26,16,24,Aaron Jones up the middle for 4 yards (tackle by Corey Nelson and Todd Davis),0.670,0.670
4,12:48,2,6,GNB 30,16,24,Aaron Rodgers pass complete short left to Davante Adams for 14 yards (tackle by Chris Harris),0.670,1.860
4,12:05,1,10,GNB 44,16,24,Aaron Jones right end for 1 yard (tackle by Von Miller),1.860,1.450
4,11:21,2,9,GNB 45,16,24,Aaron Rodgers pass complete short right to Robert Tonyan for 4 yards (tackle by Justin Simmons),1.450,1.290
4,10:41,3,5,GNB 49,16,24,Aaron Rodgers pass complete short middle to Jamaal Williams for 10 yards (tackle by Todd Davis),1.290,2.850
4,9:56,1,10,DEN 41,16,24,Jamaal Williams right end for 9 yards (tackle by Justin Hollins),2.850,3.520
4,9:10,2,1,DEN 32,16,24,Aaron Jones up the middle for 1 yard (tackle by Will Parks and Kareem Jackson),3.520,3.510
4,8:23,1,10,DEN 31,16,24,"Penalty on GNB: Delay of Game, 5 yards (no play)",3.510,3.180
4,7:58,1,15,DEN 36,16,24,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 4 yards (tackle by De'Vante Bausby and Corey Nelson),3.180,2.830
4,7:15,2,11,DEN 32,16,24,Aaron Rodgers pass complete short left to Geronimo Allison for -1 yards (tackle by Bradley Chubb),2.830,2.020
4,6:36,3,12,DEN 33,16,24,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 10 yards (tackle by De'Vante Bausby),2.020,2.050
4,5:53,4,2,DEN 23,16,27,Mason Crosby 41 yard field goal good,2.050,3.000
4,5:49,,,GNB 35,16,27,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,5:49,1,10,DEN 25,16,27,Royce Freeman right tackle for 4 yards (tackle by Blake Martinez),0.610,0.600
4,5:21,2,6,DEN 29,16,27,Joe Flacco pass complete short right to Royce Freeman for 4 yards (tackle by Adrian Amos),0.600,0.430
4,4:51,3,2,DEN 33,16,27,Royce Freeman left end for 11 yards (tackle by Josh Jackson),0.430,1.860
4,4:24,1,10,DEN 44,16,27,Joe Flacco pass incomplete short middle intended for Royce Freeman,1.860,1.320
4,4:19,2,10,DEN 44,16,27,Joe Flacco pass complete short right to Phillip Lindsay for -4 yards (tackle by Blake Martinez),1.320,0.100
4,3:33,3,14,DEN 40,16,27,Joe Flacco pass complete short left to Noah Fant for 16 yards (tackle by Jaire Alexander),0.100,2.650
4,3:04,1,10,GNB 44,16,27,Joe Flacco sacked by Rashan Gary for -7 yards,2.650,1.170
4,2:33,2,17,DEN 49,16,27,Joe Flacco pass incomplete short right intended for Emmanuel Sanders (defended by Jaire Alexander),1.170,0.500
4,2:27,3,17,DEN 49,16,27,Joe Flacco pass incomplete short right intended for Phillip Lindsay,0.500,-0.130
4,2:23,4,17,DEN 49,16,27,Joe Flacco sacked by Preston Smith for -6 yards,-0.130,-2.720
4,2:16,1,10,DEN 43,16,27,Jamaal Williams up the middle for 12 yards (tackle by De'Vante Bausby),2.720,3.510
4,2:07,,,,,,Timeout #2 by Denver Broncos,,
4,2:07,,,,,,Timeout #1 by Green Bay Packers,,
4,2:06,1,10,DEN 31,16,27,Jamaal Williams left tackle for 2 yards (tackle by Kareem Jackson),3.510,3.240
4,2:00,2,8,DEN 29,16,27,Jamaal Williams left end for -2 yards (tackle by Shelby Harris),3.240,2.280
4,1:53,,,,,,Timeout #3 by Denver Broncos,,
4,1:53,3,10,DEN 31,16,27,Jamaal Williams left guard for 4 yards (tackle by Shelby Harris),2.280,1.700
4,1:09,,,,,,Timeout #2 by Green Bay Packers,,
4,1:09,4,6,DEN 27,16,27,Mason Crosby 45 yard field goal no good,1.700,-1.270
4,1:05,1,10,DEN 35,16,27,Joe Flacco pass complete short middle to Royce Freeman for 9 yards (tackle by Kingsley Keke and Adrian Amos),1.270,1.940
4,0:42,2,1,DEN 44,16,27,Joe Flacco pass complete short left to Courtland Sutton for 3 yards (tackle by Kevin King),1.940,2.060
4,0:21,1,10,DEN 47,16,27,Joe Flacco spiked the ball,2.060,1.520
4,0:21,2,10,DEN 47,16,27,Joe Flacco sacked by Za'Darius Smith for -12 yards,1.520,-0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
