Unnamed: 0,DEN,GNB
First Downs,20,16
Rush-Yds-TDs,38-149-2,23-77-2
Cmp-Att-Yd-TD-INT,20-29-213-0-1,17-29-235-1-0
Sacked-Yards,6-52,0-0
Net Pass Yards,161,235
Total Yards,310,312
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,3-27,7-53
Third Down Conv.,8-15,2-9
Fourth Down Conv.,1-2,0-0
Time of Possession,35:34,24:26
