Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 67 yards, returned by Chris Carr for 31 yards (tackle by Tony Beckham)",0.000,1.200
1,14:55,1,10,OAK 34,0,0,LaMont Jordan left tackle for 4 yards (tackle by Adam Jones and Keith Bulluck),1.200,1.200
1,14:35,2,6,OAK 38,0,0,LaMont Jordan right end for 2 yards,1.200,0.760
1,13:49,3,4,OAK 40,0,0,"Kerry Collins pass complete to Randy Moss for 6 yards (tackle by Reynaldo Hill). Penalty on Albert Haynesworth: Roughing the Passer, 15 yards",0.760,2.980
1,13:25,1,10,TEN 39,0,0,LaMont Jordan right tackle for 12 yards (tackle by Kyle Vanden Bosch),2.980,3.780
1,12:45,1,10,TEN 27,0,0,LaMont Jordan up the middle for 1 yard,3.780,3.370
1,12:11,2,9,TEN 26,6,0,"Kerry Collins pass complete to Jerry Porter for 26 yards, touchdown",3.370,7.000
1,,,,TEN 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,7,0,"Sebastian Janikowski kicks off 78 yards, touchback",0.000,0.280
1,12:04,1,10,TEN 20,7,0,Steve McNair pass complete to Bo Scaife for -3 yards (tackle by Ted Washington),0.280,-0.790
1,11:25,2,13,TEN 17,7,0,Steve McNair pass incomplete intended for Courtney Roby (defended by Fabian Washington),-0.790,-1.510
1,11:19,3,13,TEN 17,7,0,Steve McNair up the middle for 11 yards (tackle by Jarrod Cooper and Tommy Kelly),-1.510,-1.500
1,10:38,4,2,TEN 28,7,0,Craig Hentrich punts 34 yards,-1.500,-1.470
1,10:31,1,10,OAK 38,7,0,Alvis Whitted left end for 24 yards (tackle by Antwan Odom),1.470,3.050
1,9:49,1,10,TEN 38,7,0,Kerry Collins pass complete to LaMont Jordan for 16 yards (tackle by Travis LaBoy),3.050,4.110
1,9:14,1,10,TEN 22,7,0,LaMont Jordan left tackle for 2 yards (tackle by Travis LaBoy and Kyle Vanden Bosch),4.110,3.830
1,8:39,2,8,TEN 20,7,0,Kerry Collins pass complete to Jerry Porter for 10 yards (tackle by Lamont Thompson and Reynaldo Hill),3.830,4.910
1,7:57,1,10,TEN 10,7,0,LaMont Jordan right tackle for no gain (tackle by Keith Bulluck),4.910,4.190
1,7:15,2,10,TEN 10,7,0,Kerry Collins pass complete to Randal Williams for 6 yards (tackle by Brad Kassell and Peter Sirmon),4.190,4.490
1,6:32,3,4,TEN 4,7,0,Kerry Collins pass incomplete intended for Courtney Anderson,4.490,3.030
1,6:27,4,4,TEN 4,10,0,Sebastian Janikowski 22 yard field goal good,3.030,3.000
1,,,,OAK 30,10,0,"Sebastian Janikowski kicks off 72 yards, returned by Courtney Roby for 24 yards (tackle by Omar Easy)",0.000,0.410
1,6:18,1,10,TEN 22,10,0,Steve McNair pass complete to Bo Scaife for 5 yards (tackle by Renaldo Hill),0.410,0.540
1,5:40,2,5,TEN 27,10,0,Chris Brown left tackle for 3 yards (tackle by Ted Washington and Danny Clark),0.540,0.230
1,4:59,3,2,TEN 30,10,0,Steve McNair pass incomplete intended for Bo Scaife,0.230,-1.370
1,4:56,4,2,TEN 30,10,0,"Craig Hentrich punts 37 yards, fair catch by Chris Carr",-1.370,-1.140
1,4:48,1,10,OAK 33,10,0,"LaMont Jordan right end for no gain. Penalty on Courtney Anderson: Offensive Holding, 10 yards (no play)",1.140,0.480
1,4:25,1,20,OAK 23,10,0,Kerry Collins pass complete to Randy Moss for 13 yards (tackle by Adam Jones),0.480,1.000
1,3:55,2,7,OAK 36,10,0,"Penalty on Albert Haynesworth: Defensive Offside, 5 yards (no play)",1.000,1.670
1,3:42,2,2,OAK 41,10,0,Kerry Collins pass complete to Randy Moss for 7 yards (tackle by Reynaldo Hill),1.670,2.130
1,2:59,1,10,OAK 48,10,0,Kerry Collins pass complete to LaMont Jordan for 11 yards (tackle by Lamont Thompson),2.130,2.850
1,2:30,1,10,TEN 41,10,0,Kerry Collins pass incomplete intended for Randy Moss,2.850,2.310
1,2:25,2,10,TEN 41,10,0,"LaMont Jordan left tackle for 5 yards. Penalty on OAK: Illegal Shift, 5 yards (no play)",2.310,1.630
1,2:02,2,15,TEN 46,10,0,"Kerry Collins pass incomplete intended for LaMont Jordan. Penalty on Rien Long: Defensive Offside, 5 yards (no play)",1.630,2.310
1,1:58,2,10,TEN 41,10,0,Kerry Collins pass incomplete intended for Randal Williams. Penalty on OAK: Illegal Shift (Declined),2.310,1.620
