Unnamed: 0,OAK,TEN
First Downs,17,19
Rush-Yds-TDs,23-92-0,25-140-1
Cmp-Att-Yd-TD-INT,17-29-238-3-1,26-40-229-1-0
Sacked-Yards,2-6,6-43
Net Pass Yards,232,186
Total Yards,324,326
Fumbles-Lost,1-0,3-2
Turnovers,1,2
Penalties-Yards,7-55,9-79
Third Down Conv.,4-11,10-17
Fourth Down Conv.,0-1,0-1
Time of Possession,24:23,35:37
