Unnamed: 0,KAN,OAK
First Downs,29,16
Rush-Yds-TDs,36-160-1,9-31-0
Cmp-Att-Yd-TD-INT,23-35-340-3-1,27-41-343-3-0
Sacked-Yards,0-0,3-10
Net Pass Yards,340,333
Total Yards,500,364
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-45,6-49
Third Down Conv.,8-12,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,36:35,23:25
