Unnamed: 0,OAK,GNB
First Downs,21,22
Rush-Yds-TDs,31-155-0,23-60-1
Cmp-Att-Yd-TD-INT,24-31-329-3-1,25-31-429-5-0
Sacked-Yards,0-0,1-8
Net Pass Yards,329,421
Total Yards,484,481
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,8-97,3-20
Third Down Conv.,7-11,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,29:36,30:24
