Quarter,Time,Tm,Detail,OAK,GNB
1.0,12:21,Raiders,Daniel Carlson 45 yard field goal,3,0
,9:42,Packers,Aaron Jones 21 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
2.0,11:33,Raiders,Foster Moreau 10 yard pass from Derek Carr (Daniel Carlson kick),10,7
,3:27,Packers,Jamaal Williams 2 yard pass from Aaron Rodgers (Mason Crosby kick),10,14
,0:12,Packers,Jake Kumerow 37 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
3.0,12:04,Packers,Aaron Rodgers 3 yard rush (Mason Crosby kick),10,28
,6:41,Raiders,Darren Waller 7 yard pass from Derek Carr (Daniel Carlson kick),17,28
,2:06,Packers,Jimmy Graham 3 yard pass from Aaron Rodgers (Mason Crosby kick),17,35
4.0,6:28,Packers,Marquez Valdes-Scantling 74 yard pass from Aaron Rodgers (Mason Crosby kick),17,42
,1:32,Raiders,Darren Waller 17 yard pass from Mike Glennon (Daniel Carlson kick),24,42
