Quarter,Time,Down,ToGo,Location,OAK,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 62 yards, returned by Trevor Davis for 15 yards (tackle by Oren Burks)",0.000,0.040
1,14:56,1,10,OAK 18,0,0,Josh Jacobs left end for 9 yards (tackle by B.J. Goodson and Blake Martinez),0.040,0.820
1,14:23,2,1,OAK 27,0,0,Josh Jacobs left guard for 2 yards (tackle by Tyler Lancaster and Blake Martinez),0.820,0.870
1,13:39,1,10,OAK 29,0,0,Josh Jacobs right tackle for 42 yards (tackle by Will Redmond),0.870,3.640
1,13:01,1,10,GNB 29,0,0,DeAndre Washington up the middle for 3 yards (tackle by Blake Martinez),3.640,3.510
1,12:35,2,7,GNB 26,0,0,Derek Carr pass incomplete deep left intended for Keelan Doss,3.510,2.810
1,12:30,3,7,GNB 26,0,0,Derek Carr pass incomplete deep left intended for Hunter Renfrow,2.810,1.740
1,12:25,4,7,GNB 26,3,0,Daniel Carlson 45 yard field goal good,1.740,3.000
1,12:21,,,OAK 35,3,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,12:21,1,10,GNB 25,3,0,Aaron Jones left end for 2 yards (tackle by Daryl Worley),0.610,0.330
1,11:52,2,8,GNB 27,3,0,"Penalty on Lamarcus Joyner: Defensive Offside, 5 yards (no play)",0.330,1.010
1,11:36,2,3,GNB 32,3,0,Aaron Jones right end for 15 yards (tackle by Gareon Conley),1.010,2.060
1,11:05,1,10,GNB 47,3,0,Aaron Rodgers right end for 3 yards (tackle by Tahir Whitehead),2.060,1.920
1,10:23,2,7,GNB 50,3,0,Aaron Rodgers pass incomplete short middle intended for Marquez Valdes-Scantling,1.920,1.220
1,10:20,3,7,GNB 50,3,0,Aaron Rodgers pass complete deep right to Jimmy Graham for 29 yards (tackle by Erik Harris). Penalty on Lamarcus Joyner: Defensive Holding (Declined),1.220,4.170
1,9:47,1,10,OAK 21,3,6,"Aaron Rodgers pass complete deep right to Aaron Jones for 21 yards, touchdown",4.170,7.000
1,9:42,,,OAK 15,3,7,Mason Crosby kicks extra point good,0.000,0.000
1,9:42,,,GNB 35,3,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,9:42,1,10,OAK 25,3,7,"Derek Carr pass complete short left to Trevor Davis for 20 yards (tackle by Blake Martinez and Kevin King). Penalty on Trevor Davis: Offensive Pass Interference, 10 yards (no play)",0.610,-0.410
1,9:19,1,20,OAK 15,3,7,Josh Jacobs left end for no gain (tackle by Kenny Clark),-0.410,-1.430
1,8:53,2,20,OAK 15,3,7,Derek Carr pass complete short middle to Trevor Davis for 16 yards (tackle by Adrian Amos),-1.430,0.170
1,8:22,,,,,,Timeout #2 by Oakland Raiders,,
1,8:22,3,4,OAK 31,3,7,Derek Carr pass incomplete deep left intended for Keelan Doss,0.170,-1.310
1,8:17,4,4,OAK 31,3,7,"A.J. Cole punts 59 yards, fair catch by Darrius Shepherd at GB-10",-1.310,0.380
1,8:09,1,10,GNB 10,3,7,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Tahir Whitehead),-0.380,-0.090
1,7:54,2,3,GNB 17,3,7,Aaron Jones right end for 3 yards (tackle by Johnathan Hankins and Justin Phillips),-0.090,0.280
1,7:06,1,10,GNB 20,3,7,Aaron Rodgers pass complete short right to Danny Vitale for 22 yards (tackle by Justin Phillips),0.280,1.730
1,6:37,1,10,GNB 42,3,7,Jamaal Williams up the middle for no gain (tackle by P.J. Hall),1.730,1.190
1,6:01,2,10,GNB 42,3,7,Aaron Rodgers pass incomplete deep left intended for Geronimo Allison,1.190,0.500
1,5:55,3,10,GNB 42,3,7,Aaron Rodgers sacked by Maxx Crosby for -8 yards,0.500,-1.110
1,5:08,4,18,GNB 34,3,7,"JK Scott punts 52 yards, fair catch by Trevor Davis at OAK-14",-1.110,0.280
1,5:01,1,10,OAK 14,3,7,Josh Jacobs right end for 2 yards (tackle by Tyler Lancaster and Za'Darius Smith),-0.280,-0.510
1,4:24,2,8,OAK 16,3,7,Derek Carr pass complete short middle to Josh Jacobs for 2 yards (tackle by Blake Martinez),-0.510,-0.920
1,3:44,3,6,OAK 18,3,7,Derek Carr pass complete short left to Trevor Davis for 10 yards (tackle by Adrian Amos),-0.920,0.810
1,3:28,1,10,OAK 28,3,7,"Trevor Davis right end for -6 yards (tackle by Za'Darius Smith). Penalty on Tyler Lancaster: Defensive Too Many Men on Field, 5 yards (no play)",0.810,1.540
