Quarter,Time,Down,ToGo,Location,NYG,LAC,Detail,EPB,EPA
1,5:29,2,1,NYG 2,0,0,Justin Herbert left end for 1 yard (tackle by Lorenzo Carter and Julian Love),,
1,4:48,1,1,NYG 1,0,6,"Austin Ekeler left tackle for 1 yard, touchdown",,
1,4:44,,,NYG 15,0,7,Dustin Hopkins kicks extra point good,,
1,4:44,,,LAC 35,0,7,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,4:44,1,10,NYG 25,0,7,Saquon Barkley left guard for 4 yards (tackle by Joe Gaziano and Linval Joseph),,
1,4:02,2,6,NYG 29,0,7,Mike Glennon pass complete short middle to Kyle Rudolph for 6 yards (tackle by Kyzir White and Drue Tranquill),,
1,3:22,1,10,NYG 35,0,7,Mike Glennon pass incomplete short right intended for Evan Engram (defended by Chris Harris),,
1,3:12,2,10,NYG 35,0,7,Mike Glennon pass incomplete deep left intended for Evan Engram (defended by Nasir Adderley),,
1,3:00,3,10,NYG 35,0,7,Mike Glennon pass complete deep left to Kyle Rudolph for 60 yards (tackle by Michael Davis and Trey Marshall),,
1,2:18,1,5,LAC 5,0,7,Saquon Barkley up the middle for 2 yards (tackle by Linval Joseph),,
1,1:35,2,3,LAC 3,6,7,"Mike Glennon pass complete short right to Elijhaa Penny for 3 yards, touchdown",,
1,1:29,,,LAC 15,7,7,Graham Gano kicks extra point good,,
1,1:29,,,NYG 35,7,7,"Graham Gano kicks off 58 yards, out of bounds",,
1,1:29,1,10,LAC 40,7,7,Justin Herbert pass complete short left to Josh Palmer for 9 yards (tackle by James Bradberry),,
1,0:54,2,1,LAC 49,7,7,Austin Ekeler left tackle for no gain (tackle by Dexter Lawrence and Austin Johnson),,
1,0:19,3,1,LAC 49,7,7,Justin Herbert up the middle for 2 yards (tackle by Benardrick McKinney),,
Quarter,Time,Down,ToGo,Location,NYG,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 49,7,7,Austin Ekeler left end for 17 yards (tackle by Xavier McKinney and Julian Love),,
2,14:21,1,10,NYG 32,7,7,Justin Herbert pass complete short left to Donald Parham for -2 yards (tackle by Julian Love),,
2,13:43,2,12,NYG 33,7,7,Justin Herbert pass complete short middle to Donald Parham for 15 yards (tackle by Xavier McKinney and Aaron Robinson),,
2,12:56,1,10,NYG 19,7,7,"Justin Herbert pass incomplete intended for Donald Parham. Penalty on Lorenzo Carter: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
2,12:56,1,10,NYG 14,7,7,Justin Jackson left tackle for 2 yards (tackle by Benardrick McKinney and Dexter Lawrence),,
2,12:20,2,8,NYG 12,7,7,Justin Herbert pass incomplete short right intended for Jared Cook,,
2,12:13,3,8,NYG 12,7,13,"Justin Herbert pass complete short right to Josh Palmer for 12 yards, touchdown",,
2,12:07,,,NYG 15,7,14,Dustin Hopkins kicks extra point good,,
2,12:07,,,LAC 35,7,14,"Dustin Hopkins kicks off 62 yards, returned by Pharoh Cooper for 17 yards (tackle by Nasir Adderley)",,
2,12:03,1,10,NYG 20,7,14,Mike Glennon pass complete short right to John Ross for 7 yards (tackle by Kyzir White),,
2,11:38,2,4,NYG 27,7,14,Saquon Barkley left tackle for no gain (tackle by Chris Harris),,
2,10:55,3,4,NYG 27,7,14,Mike Glennon pass incomplete short left,,
2,10:49,4,4,NYG 27,7,14,"Riley Dixon punts 51 yards, fair catch by Andre Roberts at LAC-22",,
2,10:40,1,10,LAC 22,7,14,Justin Herbert pass complete short middle to Austin Ekeler for 10 yards (tackle by Tae Crowder and Reggie Ragland),,
2,9:58,1,10,LAC 32,7,14,Joshua Kelley left end for 3 yards (tackle by Azeez Ojulari),,
2,9:21,2,7,LAC 35,7,14,Joshua Kelley left end for 3 yards (tackle by Austin Johnson),,
2,8:45,3,4,LAC 38,7,14,Justin Herbert pass complete short right to Mike Williams for 25 yards,,
2,8:03,1,10,NYG 37,7,14,Justin Herbert pass incomplete deep right intended for Austin Ekeler,,
2,7:58,2,10,NYG 37,7,14,Joshua Kelley up the middle for 12 yards (tackle by Jarren Williams and Logan Ryan),,
2,7:19,1,10,NYG 25,7,14,Austin Ekeler left end for 4 yards (tackle by Austin Johnson),,
2,6:41,2,6,NYG 21,7,14,Justin Herbert pass complete short middle to Jared Cook for 7 yards (tackle by Julian Love),,
2,5:58,1,10,NYG 14,7,14,Justin Herbert pass complete short right to Josh Palmer for 2 yards (tackle by Aaron Robinson),,
2,5:28,2,8,NYG 12,7,14,Justin Herbert pass incomplete short right intended for Jared Cook,,
2,5:20,3,8,NYG 12,7,14,Justin Herbert pass complete short middle to Austin Ekeler for 7 yards (tackle by Julian Love and Lorenzo Carter),,
2,4:16,,,,,,Timeout #1 by Los Angeles Chargers,,
2,4:16,4,1,NYG 5,7,14,"Penalty on Matt Feiler: False Start, 4 yards (accepted) (no play)",,
2,4:19,4,5,NYG 9,7,17,Dustin Hopkins 27 yard field goal good,,
2,4:15,,,LAC 35,7,17,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,4:15,1,10,NYG 25,7,17,Saquon Barkley right guard for 7 yards (tackle by Uchenna Nwosu),,
2,3:35,2,3,NYG 32,7,17,Saquon Barkley right guard for -1 yards (tackle by Joe Gaziano),,
2,2:58,3,4,NYG 31,7,17,Saquon Barkley right guard for 2 yards (tackle by Justin Jones),,
2,2:17,4,2,NYG 33,7,17,Riley Dixon punts 63 yards downed by Keion Crossen,,
2,2:04,1,10,LAC 4,7,17,Austin Ekeler left guard for -1 yards (tackle by Benardrick McKinney),,
2,2:00,2,11,LAC 3,7,17,Justin Herbert pass incomplete short right,,
2,1:54,3,11,LAC 3,7,17,Justin Herbert pass complete short right to Joshua Kelley for 5 yards (tackle by Jarren Williams),,
2,1:47,,,,,,Timeout #1 by New York Giants,,
2,1:47,4,6,LAC 8,7,17,Ty Long punts 33 yards out of bounds,,
2,1:40,1,10,LAC 41,7,17,Mike Glennon pass incomplete short middle intended for Sterling Shepard (defended by Chris Harris),,
2,1:36,2,10,LAC 41,7,17,Mike Glennon pass complete short right to Saquon Barkley for -2 yards (tackle by Michael Davis),,
2,0:57,3,12,LAC 43,7,17,Mike Glennon pass incomplete short middle intended for Devontae Booker,,
2,0:52,4,12,LAC 43,7,17,Riley Dixon punts 18 yards downed by Quincy Roche,,
2,0:40,1,10,LAC 25,7,17,Justin Herbert pass complete short left to Jalen Guyton for 17 yards (tackle by Aaron Robinson),,
2,0:30,1,10,LAC 42,7,17,Justin Herbert sacked by Azeez Ojulari for -1 yards,,
2,0:29,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:29,2,11,LAC 41,7,17,Justin Herbert pass incomplete short right intended for Austin Ekeler,,
2,0:25,3,11,LAC 41,7,23,"Justin Herbert pass complete deep middle to Jalen Guyton for 59 yards, touchdown",,
2,0:17,,,NYG 15,7,24,Dustin Hopkins kicks extra point good,,
2,0:17,,,LAC 35,7,24,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,0:17,1,10,NYG 25,7,24,Mike Glennon pass complete short left to Devontae Booker for 1 yard (tackle by Christian Covington),,
2,0:12,2,9,NYG 26,7,24,Mike Glennon pass incomplete deep left intended for Kenny Golladay (defended by Michael Davis),,
2,0:04,3,9,NYG 26,7,24,Mike Glennon pass complete short left to Devontae Booker for 17 yards (tackle by Joe Gaziano and Kyzir White),,
Quarter,Time,Down,ToGo,Location,NYG,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,7,24,"Graham Gano kicks off 71 yards, returned by Andre Roberts for 29 yards (tackle by J.R. Reed and Jarren Williams)",,
3,14:51,1,10,LAC 23,7,24,Justin Herbert scrambles up the middle for 6 yards (tackle by Benardrick McKinney),,
3,14:15,2,5,LAC 28,7,24,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Aaron Robinson),,
3,13:38,1,10,LAC 36,7,24,Austin Ekeler right tackle for 4 yards (tackle by Austin Johnson and Reggie Ragland),,
3,13:03,2,6,LAC 40,7,24,Justin Herbert pass complete deep left to Josh Palmer for 36 yards (tackle by Logan Ryan),,
3,12:11,1,10,NYG 24,7,24,Austin Ekeler left end for 8 yards (tackle by Austin Johnson),,
3,11:41,2,2,NYG 16,7,24,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Reggie Ragland and Julian Love),,
3,10:59,1,10,NYG 11,7,24,Justin Jackson right guard for 2 yards (tackle by Danny Shelton and Tae Crowder),,
3,10:25,2,8,NYG 9,7,24,Justin Jackson left tackle for 4 yards (tackle by Logan Ryan and Jarren Williams),,
3,9:48,3,4,NYG 5,7,24,Justin Herbert pass incomplete short left intended for Josh Palmer,,
3,9:40,4,4,NYG 5,7,24,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",,
3,9:40,4,9,NYG 10,7,27,Dustin Hopkins 28 yard field goal good,,
3,9:36,,,LAC 35,7,27,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,9:36,1,10,NYG 25,7,27,Saquon Barkley up the middle for 7 yards (tackle by Jerry Tillery and Trey Marshall),,
3,9:13,2,3,NYG 32,7,27,Saquon Barkley right guard for 5 yards (tackle by Justin Jones and Jerry Tillery),,
3,8:51,1,10,NYG 37,7,27,Saquon Barkley right tackle for 1 yard (tackle by Jerry Tillery and Justin Jones),,
3,8:17,2,9,NYG 38,7,27,Mike Glennon pass incomplete short right intended for Evan Engram,,
3,8:14,3,9,NYG 38,7,27,Mike Glennon pass incomplete deep left intended for Kenny Golladay (defended by Chris Harris),,
3,7:48,4,9,NYG 38,7,27,Riley Dixon pass incomplete short right intended for Keion Crossen,,
3,8:01,1,10,NYG 37,7,27,Austin Ekeler right tackle for 2 yards (tackle by Dexter Lawrence),,
3,7:47,2,8,NYG 35,7,27,Justin Herbert pass complete short right to Stephen Anderson for 11 yards (tackle by Aaron Robinson),,
3,7:11,1,10,NYG 24,7,27,Justin Jackson right end for 6 yards (tackle by Quincy Roche and Tae Crowder),,
3,6:32,2,4,NYG 18,7,27,Joshua Kelley left tackle for 1 yard (tackle by Benardrick McKinney and Tae Crowder),,
3,5:53,3,3,NYG 17,7,27,Justin Herbert sacked by Dexter Lawrence for -3 yards,,
3,5:10,4,6,NYG 20,7,30,Dustin Hopkins 39 yard field goal good,,
3,5:05,,,LAC 35,7,30,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,5:05,1,10,NYG 25,7,30,Saquon Barkley up the middle for 7 yards (tackle by Kyzir White),,
3,4:45,2,3,NYG 32,7,30,Mike Glennon pass incomplete short right intended for Kenny Golladay (defended by Tevaughn Campbell),,
3,4:38,3,3,NYG 32,7,30,Saquon Barkley up the middle for 5 yards (tackle by Nasir Adderley),,
3,3:53,1,10,NYG 37,7,30,Devontae Booker right guard for 7 yards (tackle by Nasir Adderley),,
3,3:29,2,3,NYG 44,7,30,Mike Glennon pass incomplete short left,,
3,3:22,3,3,NYG 44,7,30,Saquon Barkley left guard for 4 yards (tackle by Jerry Tillery and Drue Tranquill),,
3,2:45,1,10,NYG 48,7,30,Mike Glennon pass complete short right to Sterling Shepard for 3 yards (tackle by Kyzir White),,
3,2:05,2,7,LAC 49,7,30,"Mike Glennon pass complete short middle to Devontae Booker for no gain. Penalty on Kenneth Murray: Defensive Offside, 5 yards (accepted) (no play)",,
3,1:28,2,2,LAC 44,7,30,"Penalty on Sterling Shepard: False Start, 5 yards (accepted) (no play)",,
3,1:13,2,7,LAC 49,7,30,Mike Glennon pass incomplete short right intended for Kenny Golladay (defended by Michael Davis),,
3,0:49,3,7,LAC 49,7,30,Mike Glennon sacked by Justin Jones for -2 yards,,
3,0:30,4,9,NYG 49,7,30,"Mike Glennon sacked by Joey Bosa for -8 yards. Mike Glennon fumbles (forced by Joey Bosa), recovered by Justin Jones at NYG-41 (tackle by Joey Bosa)",,
3,0:23,1,10,NYG 41,7,30,Joshua Kelley left tackle for 3 yards (tackle by Dexter Lawrence),,
Quarter,Time,Down,ToGo,Location,NYG,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,NYG 38,7,30,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by Aaron Robinson),,
4,14:25,1,10,NYG 30,7,30,Joshua Kelley right guard for 2 yards (tackle by Danny Shelton),,
4,13:43,2,8,NYG 28,7,30,Justin Herbert pass complete short right to Mike Williams for 3 yards (tackle by Logan Ryan),,
4,13:07,3,5,NYG 25,7,30,Justin Herbert scrambles left end for 10 yards (tackle by Raymond Johnson),,
4,12:31,1,10,NYG 15,7,30,Justin Jackson left guard for 9 yards (tackle by Logan Ryan),,
4,11:51,2,1,NYG 6,7,30,Justin Jackson up the middle for no gain (tackle by Dexter Lawrence and Danny Shelton),,
4,11:00,3,1,NYG 6,7,30,Joshua Kelley left tackle for 3 yards (tackle by Aaron Robinson and Logan Ryan),,
4,10:21,1,3,NYG 3,7,30,Justin Herbert pass incomplete short right intended for Jared Cook,,
4,10:15,2,3,NYG 3,7,30,Justin Jackson right guard for 2 yards (tackle by Austin Johnson and Lorenzo Carter),,
4,9:33,,,,,,Timeout #1 by New York Giants,,
4,9:33,3,1,NYG 1,7,36,"Justin Herbert pass complete short right to Jared Cook for 1 yard, touchdown",,
4,9:28,,,NYG 15,7,37,Dustin Hopkins kicks extra point good,,
4,9:28,,,LAC 35,7,37,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,9:28,1,10,NYG 25,7,37,Devontae Booker up the middle for 9 yards (tackle by Kyzir White),,
4,9:00,2,1,NYG 34,7,37,Devontae Booker up the middle for 5 yards (tackle by Joe Gaziano),,
4,8:31,1,10,NYG 39,7,37,Mike Glennon pass complete short left to Devontae Booker for 9 yards (tackle by Michael Davis and Kyzir White),,
4,7:52,2,2,NYG 47,7,37,"Mike Glennon pass complete short left to Sterling Shepard for no gain. Penalty on Kenneth Murray: Defensive Offside, 5 yards (accepted) (no play)",,
4,7:32,1,10,LAC 47,7,37,Saquon Barkley left tackle for -3 yards (tackle by Chris Rumph and Jerry Tillery),,
4,7:05,2,13,LAC 50,7,37,Mike Glennon pass complete short right to Pharoh Cooper for 6 yards (tackle by Kyzir White),,
4,6:28,3,7,LAC 44,7,37,Saquon Barkley up the middle for 13 yards (tackle by Nasir Adderley),,
4,5:51,1,10,LAC 31,7,37,Mike Glennon pass incomplete short right intended for Darius Slayton,,
4,5:48,2,10,LAC 31,7,37,Devontae Booker up the middle for 8 yards (tackle by Chris Rumph and Nasir Adderley),,
4,5:14,3,2,LAC 23,7,37,Devontae Booker right tackle for 5 yards (tackle by Drue Tranquill and Emeke Egbule),,
4,4:38,1,10,LAC 18,13,37,"Mike Glennon pass complete deep right to Saquon Barkley for 18 yards, touchdown",,
4,4:33,,,LAC 2,13,37,Two Point Attempt: Mike Glennon pass incomplete intended for,,
4,4:33,,,NYG 35,13,37,"Riley Dixon kicks onside 10 yards, returned by Kyzir White for no gain",,
4,4:30,1,10,NYG 45,13,37,Joshua Kelley left end for no gain (tackle by Tae Crowder),,
4,3:48,2,10,NYG 45,13,37,Joshua Kelley right end for 2 yards (tackle by Tae Crowder),,
4,3:39,,,,,,Timeout #2 by New York Giants,,
4,3:39,3,8,NYG 43,13,37,Joshua Kelley right end for 4 yards (tackle by Dexter Lawrence),,
4,3:34,,,,,,Timeout #3 by New York Giants,,
4,3:34,4,4,NYG 39,13,37,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",,
4,3:34,4,9,NYG 44,13,37,Ty Long punts 7 yards out of bounds,,
4,3:29,1,10,NYG 37,13,37,Devontae Booker right guard for 8 yards (tackle by Amen Ogbongbemiga),,
4,3:04,2,2,NYG 45,13,37,Devontae Booker right guard for 6 yards (tackle by Amen Ogbongbemiga and Nasir Adderley),,
4,2:36,1,10,LAC 49,13,37,"Mike Glennon pass incomplete intended for Devontae Booker. Penalty on Linval Joseph: Roughing the Passer, 15 yards (accepted) (no play)",,
4,2:35,1,10,LAC 34,13,37,Mike Glennon pass complete short middle to Kenny Golladay for 10 yards (tackle by Amen Ogbongbemiga),,
4,2:28,1,10,LAC 24,13,37,Mike Glennon pass complete short right to Devontae Booker for 1 yard (tackle by Chris Harris and Chris Rumph),,
4,2:00,2,9,LAC 23,13,37,Mike Glennon pass complete short middle to Evan Engram for 8 yards (tackle by Nick Niemann),,
4,1:47,3,1,LAC 15,13,37,Elijhaa Penny up the middle for 8 yards (tackle by Christian Covington and Nasir Adderley),,
4,1:27,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:27,1,7,LAC 7,19,37,"Mike Glennon scrambles left end for 7 yards, touchdown",,
4,1:18,,,LAC 2,21,37,"Two Point Attempt: Elijhaa Penny rushes, conversion succeeds.",,
4,1:18,,,NYG 35,21,37,"Riley Dixon kicks onside 15 yards, recovered by Keion Crossen",,
4,1:17,1,10,LAC 50,21,37,Mike Glennon pass incomplete deep left intended for Kenny Golladay,,
4,1:12,2,10,LAC 50,21,37,Mike Glennon pass complete deep middle to Sterling Shepard for 24 yards (tackle by Amen Ogbongbemiga),,
4,0:53,1,10,LAC 26,21,37,Mike Glennon spiked the ball,,
4,0:52,2,10,LAC 26,21,37,Mike Glennon pass short middle intended for Sterling Shepard is intercepted by Nick Niemann at LAC-21 and returned for no gain,,
4,0:47,1,10,LAC 21,21,37,Chase Daniel kneels for -1 yards,,
4,0:26,2,11,LAC 20,21,37,Chase Daniel kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
