Quarter,Time,Down,ToGo,Location,TAM,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left end for -1 yards (tackle by Clinton McDonald and Lavonte David),0.280,-0.460
1,14:25,2,11,WAS 19,0,0,Kirk Cousins pass complete short left to Matt Jones for 4 yards (tackle by Johnthan Banks),-0.460,-0.560
1,13:53,3,7,WAS 23,0,0,Kirk Cousins pass complete short middle to Jamison Crowder for 4 yards (tackle by Kwon Alexander),-0.560,-1.570
1,13:17,4,3,WAS 27,0,0,"Tress Way punts 46 yards, returned by Bobby Rainey for 9 yards (tackle by William Compton)",-1.570,-1.330
1,13:06,1,10,TAM 36,0,0,Doug Martin right end for 1 yard (tackle by Ryan Kerrigan),1.330,0.930
1,12:32,2,9,TAM 37,0,0,Doug Martin right end for 23 yards (tackle by Trent Robinson and Keenan Robinson),0.930,2.920
1,11:55,1,10,WAS 40,6,0,"Jameis Winston pass complete deep left to Mike Evans for 40 yards, touchdown",2.920,7.000
1,11:55,,,WAS 40,7,0,Connor Barth kicks extra point good,0.000,0.000
1,11:55,,,TAM 35,7,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,11:47,1,10,WAS 20,7,0,Alfred Morris left end for 1 yard (tackle by Clinton McDonald and Bradley McDougald),0.280,-0.130
1,11:08,2,9,WAS 21,7,0,"Kirk Cousins pass incomplete deep right intended for Andre Roberts. Penalty on Alterraun Verner: Defensive Holding, 5 yards (no play)",-0.130,0.670
1,11:01,1,10,WAS 26,7,0,Kirk Cousins pass complete short left to Derek Carrier for 9 yards (tackle by Lavonte David),0.670,1.350
1,10:24,2,1,WAS 35,7,0,Alfred Morris left tackle for no gain (tackle by William Gholston),1.350,0.630
1,9:48,3,1,WAS 35,7,0,Kirk Cousins pass incomplete short right intended for Matt Jones,0.630,-1.040
1,9:44,4,1,WAS 35,7,0,"Tress Way punts 52 yards, returned by Bobby Rainey for 12 yards (tackle by Deshazor Everett)",-1.040,-0.610
1,9:32,1,10,TAM 25,7,0,Doug Martin left tackle for 7 yards (tackle by Trent Robinson and Keenan Robinson),0.610,1.010
1,9:01,2,3,TAM 32,7,0,Doug Martin middle for 7 yards (tackle by Trent Robinson),1.010,1.530
1,8:22,1,10,TAM 39,7,0,--,1.530,1.200
1,8:02,1,15,TAM 34,7,0,Jameis Winston pass complete short middle to Louis Murphy for 29 yards (tackle by Bashaud Breeland),1.200,3.120
1,7:31,1,10,WAS 37,7,0,Jameis Winston pass complete short middle to Mike Evans for 25 yards (tackle by Bashaud Breeland),3.120,4.780
1,6:50,1,10,WAS 12,7,0,Doug Martin middle for -2 yards (tackle by Chris Baker and Jason Hatcher),4.780,3.790
1,6:04,2,12,WAS 14,7,0,Jameis Winston pass complete short left to Doug Martin for 10 yards (tackle by Dashon Goldson and Keenan Robinson),3.790,4.840
1,5:17,3,2,WAS 4,7,0,Jameis Winston pass incomplete short middle intended for Mike Evans,4.840,3.040
1,5:10,4,2,WAS 4,10,0,Connor Barth 22 yard field goal good,3.040,3.000
1,5:10,,,TAM 35,10,0,"Connor Barth kicks off 69 yards, returned by Rashad Ross for 18 yards (tackle by Jude Adjei-Barimah)",0.000,0.280
1,5:02,1,10,WAS 14,10,0,Kirk Cousins pass complete short right to Alfred Morris for 2 yards (tackle by Lavonte David),-0.280,-0.510
1,4:27,2,8,WAS 16,10,0,Alfred Morris right guard for 2 yards (tackle by George Johnson),-0.510,-0.920
1,3:53,3,6,WAS 18,10,0,Kirk Cousins pass incomplete deep middle intended for Andre Roberts (defended by Johnthan Banks),-0.920,-2.240
1,3:45,4,6,WAS 18,10,0,"Tress Way punts 51 yards, returned by Bobby Rainey for -3 yards (tackle by Deshazor Everett)",-2.240,-0.810
1,3:34,1,10,TAM 28,10,0,Doug Martin right end for 18 yards (tackle by Trent Robinson),0.810,1.990
1,3:02,1,10,TAM 46,10,0,Doug Martin right tackle for 5 yards (tackle by Terrance Knighton),1.990,2.130
1,2:30,2,5,WAS 49,10,0,Jameis Winston pass complete short right to Mike Evans for 9 yards (tackle by Bashaud Breeland and Dashon Goldson),2.130,2.920
1,2:02,1,10,WAS 40,10,0,"Jameis Winston pass incomplete deep middle intended for Mike Evans (defended by Bashaud Breeland). Penalty on Donovan Smith: Offensive Holding, 10 yards (no play)",2.920,2.260
1,1:55,1,20,,10,0,Jameis Winston pass complete short right to Doug Martin for 11 yards (tackle by Keenan Robinson and Bashaud Breeland),2.260,2.510
1,1:10,2,9,WAS 39,10,0,Jameis Winston pass incomplete short right intended for Brandon Myers,2.510,1.820
1,1:06,3,9,WAS 39,10,0,Jameis Winston pass complete short middle to Vincent Jackson for 13 yards (tackle by Bashaud Breeland),1.820,3.840
1,0:30,1,10,WAS 26,10,0,Charles Sims left end for 7 yards (tackle by Jason Hatcher),3.840,4.270
Quarter,Time,Down,ToGo,Location,TAM,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,WAS 19,10,0,"Charles Sims right guard for 5 yards (tackle by Keenan Robinson and Trent Robinson). Penalty on Gosder Cherilus: Unnecessary Roughness, 15 yards",4.270,3.640
2,14:30,1,10,WAS 29,10,0,Jameis Winston pass incomplete short left intended for Charles Sims,3.640,3.100
2,14:20,2,10,WAS 29,10,0,Jameis Winston pass complete short right to Charles Sims for 8 yards (tackle by Dashon Goldson),3.100,3.470
2,13:37,3,2,WAS 21,10,0,Charles Sims right end for 5 yards (tackle by Perry Riley and Bashaud Breeland),3.470,4.510
2,12:58,1,10,WAS 16,10,0,Charles Sims right tackle for 5 yards (tackle by Preston Smith and Chris Baker),4.510,4.760
2,12:23,2,5,WAS 11,10,0,Charles Sims right tackle for 4 yards (tackle by Trent Robinson and Jeron Johnson),4.760,4.850
2,11:41,3,1,WAS 7,16,0,"Jameis Winston pass complete short left to Donteea Dye for 7 yards, touchdown",4.850,7.000
2,11:41,,,WAS 7,17,0,Connor Barth kicks extra point good,0.000,0.000
2,11:41,,,TAM 35,17,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
2,11:34,1,10,WAS 20,17,0,Matt Jones right end for 5 yards (tackle by Alterraun Verner),0.280,0.410
2,11:01,2,5,WAS 25,17,0,Matt Jones right end for 6 yards (tackle by Lavonte David),0.410,1.000
2,10:25,1,10,WAS 31,17,0,Kirk Cousins pass complete deep left to Pierre Garcon for 21 yards (tackle by Chris Conte),1.000,2.390
2,9:42,1,10,TAM 48,17,0,Kirk Cousins pass complete short middle to Jordan Reed for 4 yards (tackle by Lavonte David),2.390,2.390
2,9:09,2,6,TAM 44,17,0,Matt Jones left tackle for -1 yards (tackle by Clinton McDonald),2.390,1.550
2,8:31,3,7,TAM 45,23,0,"Kirk Cousins sacked by Jacquies Smith for -9 yards. Kirk Cousins fumbles (forced by Jacquies Smith), recovered by Howard Jones at WAS-43 and returned for 43 yards, touchdown",1.550,-7.000
2,8:19,,,WAS 45,24,0,Connor Barth kicks extra point good,0.000,0.000
2,8:19,,,TAM 35,24,0,"Connor Barth kicks off 69 yards, returned by Rashad Ross for 30 yards (tackle by Alterraun Verner)",0.000,-0.670
2,8:12,1,10,WAS 26,24,0,"Alfred Morris right end for -2 yards (tackle by Kwon Alexander). Penalty on William Gholston: Unnecessary Roughness, 15 yards",0.670,1.530
2,7:48,1,10,WAS 39,24,0,Kirk Cousins pass complete short right to Derek Carrier for 6 yards (tackle by Gerald McCoy),1.530,1.800
2,7:05,2,4,WAS 45,24,0,Kirk Cousins pass complete deep left to Jamison Crowder for 18 yards (tackle by Jude Adjei-Barimah),1.800,3.120
2,6:28,1,10,TAM 37,24,0,Matt Jones right end for 3 yards (tackle by Kwon Alexander),3.120,2.980
2,5:42,2,7,TAM 34,24,0,Kirk Cousins pass complete short right to Pierre Garcon for 7 yards (tackle by Chris Conte),2.980,3.780
2,5:13,1,10,TAM 27,24,0,Kirk Cousins pass complete short middle to Ryan Grant for 19 yards (tackle by Chris Conte),3.780,5.370
2,4:32,1,8,TAM 8,24,6,"Kirk Cousins left end for 8 yards, touchdown",5.370,7.000
2,4:32,,,TAM 8,24,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,4:32,,,WAS 35,24,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,4:26,1,10,TAM 20,24,7,Doug Martin left tackle for -2 yards (tackle by Jason Hatcher and Trent Robinson),0.280,-0.630
2,3:45,2,12,TAM 18,24,7,Jameis Winston pass incomplete short left intended for Mike Evans,-0.630,-1.330
2,3:41,3,12,TAM 18,24,7,Jameis Winston pass complete short right to Bobby Rainey for 4 yards (tackle by Jackson Jeffcoat and Kyshoen Jarrett),-1.330,-1.900
2,3:02,4,8,TAM 22,24,7,"Jake Schum punts 49 yards, returned by Jamison Crowder for 4 yards (tackle by Danny Lansanah)",-1.900,-1.140
2,2:48,1,10,WAS 33,24,7,Kirk Cousins pass complete short right to Matt Jones for 12 yards (tackle by Chris Conte),1.140,1.930
2,2:15,1,10,WAS 45,24,7,Matt Jones right end for 3 yards (tackle by Clinton McDonald and Gerald McCoy),1.930,1.790
2,2:00,2,7,WAS 48,24,7,Kirk Cousins pass complete short middle to Jordan Reed for 5 yards (tackle by George Johnson),1.790,1.790
2,1:48,2,7,WAS 48,24,7,Timeout #1 by Washington Redskins,1.790,1.750
2,1:48,3,2,TAM 47,24,7,Kirk Cousins pass incomplete deep right intended for Andre Roberts (defended by Chris Conte),1.750,0.130
2,1:42,4,2,TAM 47,24,7,"Kirk Cousins pass complete short left to Jamison Crowder for 3 yards (tackle by Alterraun Verner). Penalty on WAS: Illegal Shift, 5 yards (no play)",0.130,-0.190
2,1:32,4,7,WAS 48,24,7,Tress Way punts 40 yards,-0.190,0.350
2,1:20,1,10,TAM 12,24,7,Charles Sims middle for 8 yards (tackle by Preston Smith),-0.350,-0.350
2,1:15,1,10,TAM 12,24,7,Timeout #2 by Washington Redskins,-0.350,0.290
2,1:15,2,2,TAM 20,24,7,Charles Sims right guard for 4 yards (tackle by Perry Riley and Dashon Goldson),0.290,0.540
2,0:44,1,10,TAM 24,24,7,Charles Sims right guard for 13 yards (tackle by Bashaud Breeland and Dashon Goldson),0.540,0.540
2,0:35,1,10,TAM 24,24,7,Timeout #1 by Tampa Bay Buccaneers,0.540,1.400
2,0:35,1,10,TAM 37,24,7,"Jameis Winston pass incomplete short right intended for Charles Sims. Penalty on Ali Marpet: Offensive Holding, 10 yards (no play)",1.400,0.740
2,0:30,1,20,TAM 27,24,7,Charles Sims left tackle for no gain (tackle by Preston Smith and Ricky Jean-Francois),0.740,-0.490
Quarter,Time,Down,ToGo,Location,TAM,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,24,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,TAM 20,24,7,Jameis Winston pass incomplete short middle intended for Vincent Jackson (defended by Dashon Goldson),0.280,-0.270
,,,,,,,"WAS challenged the pass completion ruling, and the original play was overturned.",,
3,14:57,2,10,TAM 20,24,7,Jameis Winston pass complete short middle to Doug Martin for 14 yards (tackle by Dashon Goldson and Chris Baker),-0.270,1.200
3,14:20,1,10,TAM 34,24,7,Doug Martin left tackle for 1 yard (tackle by Trent Murphy and Ricky Jean-Francois),1.200,0.790
3,13:43,2,9,TAM 35,24,7,Jameis Winston pass incomplete short right intended for Mike Evans (defended by Will Blackmon),0.790,0.100
3,13:36,3,9,TAM 35,24,7,"Penalty on Ali Marpet: False Start, 5 yards (no play)",0.100,-0.560
3,13:36,3,14,TAM 30,24,7,"Jameis Winston middle for 5 yards (tackle by Jackson Jeffcoat). Jameis Winston fumbles (forced by Jackson Jeffcoat), recovered by Jameis Winston at TAM-35. Penalty on Ali Marpet: Unnecessary Roughness, 15 yards",-0.560,-2.030
3,13:04,4,24,TAM 20,24,7,Jake Schum punts 40 yards,-2.030,-1.600
3,12:54,1,10,WAS 40,24,7,Kirk Cousins pass complete short right to Jordan Reed for 8 yards (tackle by Clinton McDonald),1.600,2.130
3,12:17,2,2,WAS 48,24,7,Kirk Cousins pass complete short left to Jamison Crowder for no gain,2.130,2.130
3,11:38,2,2,WAS 48,24,7,Timeout #1 by Tampa Bay Buccaneers,2.130,1.420
3,11:38,3,2,WAS 48,24,7,"Kirk Cousins pass complete deep left to Andre Roberts for 38 yards (tackle by Johnthan Banks). Penalty on Gerald McCoy: Roughing the Passer, 7 yards",1.420,5.600
3,11:21,1,7,TAM 7,24,7,"Kirk Cousins pass incomplete short middle intended for Pierre Garcon. Penalty on William Gholston: Roughing the Passer, 4 yards, Penalty on Sterling Moore: Defensive Holding (Declined) (no play)",5.600,6.510
3,11:15,1,3,TAM 3,24,13,"Kirk Cousins pass complete short right to Ryan Grant for 3 yards, touchdown",6.510,7.000
3,11:15,,,TAM 3,24,14,Dustin Hopkins kicks extra point good,0.000,0.000
3,11:15,,,WAS 35,24,14,"Dustin Hopkins kicks onside 14 yards, recovered by Trent Robinson (onside kick successful)",0.000,2.190
3,11:08,1,10,WAS 49,24,14,Kirk Cousins pass complete deep middle to Ryan Grant for 32 yards (tackle by Bradley McDougald),2.190,4.310
3,10:21,1,10,TAM 19,24,14,"Penalty on WAS: False Start, 5 yards (no play)",4.310,3.970
3,10:05,1,15,TAM 24,24,14,Kirk Cousins right end for 8 yards (tackle by Bradley McDougald),3.970,4.180
3,9:25,2,7,TAM 16,24,14,Kirk Cousins pass complete short middle to Jamison Crowder for 8 yards (tackle by Jacquies Smith),4.180,5.370
3,8:46,1,8,TAM 8,24,14,Matt Jones left end for -1 yards (tackle by Chris Conte),5.370,4.380
3,8:06,2,9,TAM 9,24,14,"Penalty on Kirk Cousins: False Start, 5 yards (no play)",4.380,3.580
3,7:50,2,14,TAM 14,24,14,"Kirk Cousins pass incomplete short middle intended for Andre Roberts (defended by Kwon Alexander). Penalty on Kwon Alexander: Defensive Holding, 6 yards (no play)",3.580,5.370
3,7:44,1,8,TAM 8,24,14,Kirk Cousins pass complete short middle to Jordan Reed for 5 yards (tackle by Jude Adjei-Barimah and Bradley McDougald),5.370,5.530
3,7:05,2,3,TAM 3,24,14,Kirk Cousins pass incomplete short middle intended for Pierre Garcon (defended by Jude Adjei-Barimah),5.530,4.720
3,7:01,3,3,TAM 3,24,20,"Kirk Cousins pass complete short middle to Jordan Reed for 3 yards, touchdown",4.720,7.000
3,7:01,,,TAM 3,24,21,Dustin Hopkins kicks extra point good,0.000,0.000
3,7:01,,,WAS 35,24,21,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
3,6:56,1,10,TAM 20,24,21,Jameis Winston pass incomplete short middle intended for Luke Stocker,0.280,-0.270
3,6:51,2,10,TAM 20,24,21,Doug Martin left end for 5 yards (tackle by Dashon Goldson),-0.270,-0.270
3,6:06,2,10,TAM 20,24,21,Timeout #2 by Tampa Bay Buccaneers,-0.270,-0.300
3,6:06,3,5,TAM 25,24,21,Jameis Winston pass complete deep left to Mike Evans for 24 yards (tackle by Will Blackmon),-0.300,2.190
