Unnamed: 0,TAM,WAS
First Downs,21,27
Rush-Yds-TDs,30-190-0,19-50-1
Cmp-Att-Yd-TD-INT,21-29-297-2-0,33-40-317-3-0
Sacked-Yards,1-8,1-12
Net Pass Yards,289,305
Total Yards,479,355
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,16-142,4-20
Third Down Conv.,7-12,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:18,28:42
