Quarter,Time,Tm,Detail,BUF,NYJ
1.0,8:46,Jets,Sergio Castillo 29 yard field goal,0,3
2.0,7:22,Jets,La'Mical Perine 5 yard rush (Sergio Castillo kick),0,10
,2:42,Bills,Tyler Bass 53 yard field goal,3,10
,0:00,Bills,Tyler Bass 48 yard field goal,6,10
3.0,10:35,Bills,Tyler Bass 46 yard field goal,9,10
,1:37,Bills,Tyler Bass 37 yard field goal,12,10
4.0,6:01,Bills,Tyler Bass 29 yard field goal,15,10
,1:56,Bills,Tyler Bass 40 yard field goal,18,10
