Unnamed: 0,OAK,KAN
First Downs,18,14
Rush-Yds-TDs,31-135-1,27-65-1
Cmp-Att-Yd-TD-INT,17-41-117-0-0,17-26-264-1-1
Sacked-Yards,1-8,1-6
Net Pass Yards,109,258
Total Yards,244,323
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,10-82,9-73
Third Down Conv.,5-18,5-11
Fourth Down Conv.,1-3,0-1
Time of Possession,31:45,28:15
