Quarter,Time,Tm,Detail,OAK,KAN
1.0,11:34,Raiders,Sebastian Janikowski 44 yard field goal,3,0
2.0,14:51,Chiefs,Tyreek Hill 36 yard pass from Alex Smith (Cairo Santos kick),3,7
,8:34,Chiefs,Charcandrick West 3 yard rush (Cairo Santos kick),3,14
,6:25,Chiefs,Tyreek Hill 78 yard punt return (Cairo Santos kick),3,21
,0:14,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),10,21
3.0,13:09,Raiders,Sebastian Janikowski 33 yard field goal,13,21
