Unnamed: 0,DEN,LVR
First Downs,12,25
Rush-Yds-TDs,20-85-1,38-212-2
Cmp-Att-Yd-TD-INT,17-25-237-2-0,21-34-188-0-0
Sacked-Yards,3-23,2-15
Net Pass Yards,214,173
Total Yards,299,385
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,7-50,4-25
Third Down Conv.,3-11,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,25:08,34:52
