Quarter,Time,Tm,Detail,DEN,LVR
1.0,9:52,Raiders,Daniel Carlson 26 yard field goal,0,3
,2:45,Broncos,Courtland Sutton 5 yard pass from Russell Wilson (Brandon McManus kick),7,3
2.0,11:46,Raiders,Josh Jacobs 10 yard rush (Daniel Carlson kick),7,10
,8:03,Broncos,Brandon McManus 28 yard field goal,10,10
,3:15,Raiders,Amik Robertson 68 yard fumble return (Daniel Carlson kick failed),10,16
,1:24,Broncos,Jerry Jeudy 20 yard pass from Russell Wilson (Brandon McManus kick failed),16,16
,0:00,Raiders,Daniel Carlson 39 yard field goal,16,19
3.0,2:27,Raiders,Daniel Carlson 22 yard field goal,16,22
4.0,9:50,Raiders,Daniel Carlson 30 yard field goal,16,25
,7:16,Broncos,Russell Wilson 3 yard rush (Brandon McManus kick),23,25
,2:02,Raiders,Josh Jacobs 7 yard rush (Daniel Carlson kick),23,32
