Unnamed: 0,MIA,JAX
First Downs,22,10
Rush-Yds-TDs,40-146-2,25-95-1
Cmp-Att-Yd-TD-INT,21-29-220-0-1,11-26-139-0-0
Sacked-Yards,2-12,3-17
Net Pass Yards,208,122
Total Yards,354,217
Fumbles-Lost,5-2,1-0
Turnovers,3,0
Penalties-Yards,4-27,2-10
Third Down Conv.,8-15,3-14
Fourth Down Conv.,1-1,1-3
Time of Possession,35:06,24:54
