Quarter,Time,Tm,Detail,MIA,JAX
1.0,2:33,Dolphins,Ricky Williams 1 yard rush (Dan Carpenter kick),7,0
2.0,8:33,Dolphins,Chad Henne 1 yard rush (Dan Carpenter kick),14,0
,2:32,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),14,7
3.0,4:55,Jaguars,Josh Scobee 25 yard field goal,14,10
