Unnamed: 0,JAX,NYJ
First Downs,16,12
Rush-Yds-TDs,47-139-1,25-89-1
Cmp-Att-Yd-TD-INT,16-24-177-2-1,11-22-95-0-2
Sacked-Yards,2-8,4-16
Net Pass Yards,169,79
Total Yards,308,168
Fumbles-Lost,3-2,3-1
Turnovers,3,3
Penalties-Yards,9-85,6-44
Third Down Conv.,10-20,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,40:31,25:34
