Quarter,Time,Tm,Detail,JAX,NYJ
1,4:37,Jaguars,Josh Scobee 32 yard field goal,3,0
2,5:50,Jaguars,Ernest Wilford 21 yard pass from Byron Leftwich (Josh Scobee kick),10,0
,1:51,Jets,Jerald Sowell 1 yard rush (Mike Nugent kick),10,7
3,12:17,Jets,James Reed 33 yard defensive fumble return (Mike Nugent kick),10,14
,5:05,Jaguars,Josh Scobee 40 yard field goal,13,14
4,14:57,Jaguars,Fred Taylor 3 yard rush (Josh Scobee kick),20,14
,9:43,Jets,Mike Nugent 35 yard field goal,20,17
,1:14,Jets,Mike Nugent 25 yard field goal,20,20
OT,8:55,Jaguars,Jimmy Smith 36 yard pass from Byron Leftwich,26,20
