Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Samaje Perine right tackle for 3 yards (tackle by Joshua Williams and Willie Gay),0.610,0.470
1,14:25,2,7,CIN 28,0,0,Joe Burrow pass complete short left to Hayden Hurst for 3 yards (tackle by L'Jarius Sneed),0.470,0.170
1,13:45,3,4,CIN 31,0,0,Joe Burrow pass complete short right to Samaje Perine for 11 yards (tackle by L'Jarius Sneed and Willie Gay),0.170,1.730
1,13:04,1,10,CIN 42,0,0,Joe Burrow pass complete short middle to Hayden Hurst for 9 yards (tackle by Juan Thornhill),1.730,2.400
1,12:27,2,1,KAN 49,0,0,Joe Burrow up the middle for 3 yards (tackle by Nick Bolton),2.400,2.520
1,11:49,1,10,KAN 46,0,0,Samaje Perine left guard for 4 yards (tackle by Chris Jones and Nick Bolton),2.520,2.520
1,11:07,2,6,KAN 42,0,0,Samaje Perine right tackle for 8 yards (tackle by Joshua Williams),2.520,3.310
1,10:26,1,10,KAN 34,0,0,Joe Burrow pass complete short middle to Mitchell Wilcox for 13 yards (tackle by Nick Bolton),3.310,4.170
1,9:43,1,10,KAN 21,0,0,Joe Burrow pass complete deep middle to Tyler Boyd for 17 yards (tackle by Juan Thornhill),4.170,6.280
1,8:58,1,4,KAN 4,0,0,Joe Burrow pass incomplete short right intended for Samaje Perine,6.280,5.340
1,8:54,2,4,KAN 4,0,6,"Joe Burrow up the middle for 4 yards, touchdown",5.340,7.000
1,8:49,,,KAN 15,0,7,Evan McPherson kicks extra point good,0.000,0.000
1,8:49,,,CIN 35,0,7,"Evan McPherson kicks off 52 yards, returned by Isiah Pacheco for 14 yards (tackle by Stanley Morgan and Akeem Davis-Gaither)",0.000,0.740
1,8:44,1,10,KAN 27,0,7,Isiah Pacheco left tackle for 4 yards (tackle by D.J. Reader),0.740,0.740
1,8:15,2,6,KAN 31,0,7,Patrick Mahomes pass complete short right to Isiah Pacheco for 16 yards (tackle by Jessie Bates),0.740,2.060
1,7:30,1,10,KAN 47,0,7,Patrick Mahomes pass complete short left to Isiah Pacheco for no gain (tackle by Mike Hilton),2.060,1.520
1,6:54,2,10,KAN 47,0,7,Patrick Mahomes pass complete short right to Jody Fortson for 6 yards (tackle by Sam Hubbard),1.520,1.620
1,6:11,3,4,CIN 47,0,7,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 18 yards (tackle by Jessie Bates),1.620,3.640
1,5:37,1,10,CIN 29,0,7,Jerick McKinnon left tackle for 14 yards (tackle by Vonn Bell and Eli Apple),3.640,4.580
1,4:51,1,10,CIN 15,0,7,Jerick McKinnon right guard for 7 yards (tackle by Logan Wilson),4.580,5.220
1,4:11,2,3,CIN 8,0,7,Patrick Mahomes pass incomplete short right,5.220,4.450
1,4:03,3,3,CIN 8,0,7,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by D.J. Reader),4.450,2.980
1,4:00,4,3,CIN 8,3,7,Harrison Butker 26 yard field goal good,2.980,3.000
1,3:56,,,KAN 35,3,7,"Harrison Butker kicks off 65 yards, recovered by Trayveon Williams at CIN-10 and returned for 16 yards (tackle by Michael Burton)",0.000,0.670
1,3:50,1,10,CIN 26,3,7,Joe Burrow scrambles up the middle for 8 yards (tackle by Nick Bolton),0.670,1.210
1,3:03,2,2,CIN 34,3,7,Joe Burrow pass incomplete deep middle intended for Hayden Hurst,1.210,0.500
1,2:57,3,2,CIN 34,3,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 7 yards (tackle by Nick Bolton),0.500,1.660
1,2:17,1,10,CIN 41,3,7,Samaje Perine left end for 2 yards (tackle by Frank Clark and Taylor Stallworth),1.660,1.390
1,1:38,2,8,CIN 43,3,7,"Joe Burrow pass short middle is intercepted by Juan Thornhill at KC-42 and returned for no gain (tackle by Cordell Volson). Penalty on Trent McDuffie: Defensive Pass Interference, 10 yards (accepted) (no play)",1.390,2.460
1,1:23,1,10,KAN 47,3,7,"Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Taylor Stallworth: Roughing the Passer, 15 yards (accepted) (no play)",2.460,3.450
1,1:17,1,10,KAN 32,3,7,Samaje Perine right guard for 8 yards (tackle by Joshua Williams and Nick Bolton),3.450,3.980
1,0:32,2,2,KAN 24,3,7,Samaje Perine left guard for 10 yards (tackle by Justin Reid),3.980,4.650
Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 14,3,7,Samaje Perine up the middle for -5 yards (tackle by Willie Gay),4.650,3.370
2,14:22,2,15,KAN 19,3,7,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Joshua Williams),3.370,3.430
2,13:39,3,8,KAN 12,3,13,"Joe Burrow pass complete short right to Tee Higgins for 12 yards, touchdown",3.430,7.000
2,13:33,,,KAN 15,3,14,Evan McPherson kicks extra point good,0.000,0.000
2,13:33,,,CIN 35,3,14,"Penalty on Ja'Marr Chase: Taunting / Offense, 15 yards (accepted) (no play)",0.000,0.000
2,13:33,,,CIN 20,3,14,"Evan McPherson kicks off 69 yards, returned by Isiah Pacheco for 19 yards (tackle by Joe Bachie)",0.000,0.940
2,13:28,1,10,KAN 30,3,14,Isiah Pacheco left guard for 3 yards (tackle by B.J. Hill),0.940,0.800
2,12:48,2,7,KAN 33,3,14,Patrick Mahomes sacked by Sam Hubbard for -8 yards,0.800,-0.960
2,12:10,3,15,KAN 25,3,14,"Patrick Mahomes pass complete deep left to Justin Watson for no gain (tackle by Mike Hilton). Penalty on Nick Allegretti: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Andrew Wylie: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.960,-1.620
2,11:40,3,20,KAN 20,3,14,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,-1.620,-2.030
2,11:31,4,20,KAN 20,3,14,"Tommy Townsend punts 55 yards, returned by Trent Taylor for 10 yards (tackle by Jerick McKinnon)",-2.030,-1.270
2,11:20,1,10,CIN 35,3,14,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.270,0.720
2,11:15,2,10,CIN 35,3,14,"Joe Burrow pass complete short left to Ja'Marr Chase for no gain (tackle by Justin Reid). Penalty on Ja'Marr Chase: Offensive Pass Interference, 10 yards (accepted) (no play)",0.720,-0.630
