Unnamed: 0,KAN,CIN
First Downs,20,26
Rush-Yds-TDs,25-138-2,34-152-1
Cmp-Att-Yd-TD-INT,16-27-223-1-0,25-31-286-2-0
Sacked-Yards,2-12,1-7
Net Pass Yards,211,279
Total Yards,349,431
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,4-35,6-65
Third Down Conv.,6-11,7-11
Fourth Down Conv.,2-2,0-1
Time of Possession,27:54,32:06
