Unnamed: 0,GNB,STL
First Downs,22,19
Rush-Yds-TDs,26-70-0,22-108-1
Cmp-Att-Yd-TD-INT,30-37-342-3-0,21-34-255-1-1
Sacked-Yards,3-10,3-9
Net Pass Yards,332,246
Total Yards,402,354
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,3-30,6-30
Third Down Conv.,9-15,4-11
Fourth Down Conv.,0-0,1-3
Time of Possession,32:58,27:02
