Quarter,Time,Tm,Detail,GNB,STL
1.0,7:38,Rams,Greg Zuerlein 50 yard field goal,0,3
,5:23,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
,2:17,Packers,Mason Crosby 47 yard field goal,10,3
2.0,0:40,Rams,Greg Zuerlein 43 yard field goal,10,6
3.0,8:04,Packers,Randall Cobb 5 yard pass from Aaron Rodgers (Mason Crosby kick),17,6
4.0,11:52,Packers,Mason Crosby 23 yard field goal,20,6
,8:50,Rams,Steven Jackson 6 yard rush (Greg Zuerlein kick),20,13
,3:06,Packers,Randall Cobb 39 yard pass from Aaron Rodgers (Mason Crosby kick),27,13
,1:49,Packers,Mason Crosby 48 yard field goal,30,13
,0:15,Rams,Austin Pettis 3 yard pass from Sam Bradford (Greg Zuerlein kick),30,20
