Quarter,Time,Tm,Detail,IND,TEN
1.0,9:14,Titans,Taylor Lewan 10 yard pass from Marcus Mariota (pass failed),0,6
,4:46,Colts,Frank Gore 3 yard pass from Andrew Luck (Adam Vinatieri kick),7,6
2.0,10:16,Colts,T.Y. Hilton 37 yard pass from Andrew Luck (Adam Vinatieri kick),14,6
,7:06,Colts,Adam Vinatieri 28 yard field goal,17,6
,0:34,Titans,DeMarco Murray 1 yard rush (Ryan Succop kick),17,13
3.0,3:46,Colts,Adam Vinatieri 33 yard field goal,20,13
4.0,12:39,Titans,Delanie Walker 7 yard pass from Marcus Mariota (Ryan Succop kick),20,20
,6:02,Titans,Ryan Succop 48 yard field goal,20,23
,1:55,Colts,Jack Doyle 7 yard pass from Andrew Luck (Adam Vinatieri kick),27,23
,1:47,Colts,Robert Mathis 14 yard defensive fumble return (Adam Vinatieri kick),34,23
,0:43,Titans,Ryan Succop 44 yard field goal,34,26
