Unnamed: 0,BUF,TEN
First Downs,14,20
Rush-Yds-TDs,20-89-0,35-168-2
Cmp-Att-Yd-TD-INT,21-36-218-2-2,17-25-210-1-1
Sacked-Yards,2-11,0-0
Net Pass Yards,207,210
Total Yards,296,378
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,10-65,8-75
Third Down Conv.,5-14,11-17
Fourth Down Conv.,0-1,0-0
Time of Possession,28:40,31:20
