Quarter,Time,Tm,Detail,BUF,TEN
1.0,9:10,Bills,Lee Evans 27 yard pass from Fred Jackson (Rian Lindell kick),7,0
,4:07,Titans,Chris Johnson 28 yard rush (Rob Bironas kick),7,7
,0:46,Titans,Nate Washington 14 yard pass from Vince Young (Rob Bironas kick),7,14
2.0,9:59,Titans,Rob Bironas 38 yard field goal,7,17
,7:01,Bills,Lee Evans 8 yard pass from Trent Edwards (Rian Lindell kick),14,17
3.0,8:17,Bills,Rian Lindell 25 yard field goal,17,17
4.0,10:44,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),17,24
,3:21,Titans,Rob Bironas 51 yard field goal,17,27
,2:54,Titans,Vincent Fuller 26 yard interception return (Rob Bironas kick),17,34
,0:53,Titans,Roderick Hood 31 yard interception return (Rob Bironas kick),17,41
