Unnamed: 0,NYG,CIN
First Downs,18,16
Rush-Yds-TDs,28-142-1,25-63-1
Cmp-Att-Yd-TD-INT,19-37-201-0-1,20-32-186-2-1
Sacked-Yards,2-17,3-16
Net Pass Yards,184,170
Total Yards,326,233
Fumbles-Lost,1-0,3-1
Turnovers,1,2
Penalties-Yards,9-85,3-20
Third Down Conv.,6-15,6-13
Fourth Down Conv.,1-1,1-3
Time of Possession,30:46,29:14
