Unnamed: 0,SFO,JAX
First Downs,11,21
Rush-Yds-TDs,25-110-0,35-134-1
Cmp-Att-Yd-TD-INT,8-24-123-0-1,21-40-216-0-0
Sacked-Yards,2-16,2-14
Net Pass Yards,107,202
Total Yards,217,336
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,8-56,10-84
Third Down Conv.,1-13,6-17
Fourth Down Conv.,0-1,0-1
Time of Possession,24:20,35:40
