Unnamed: 0,TEN,DAL
First Downs,17,25
Rush-Yds-TDs,27-158-2,23-141-0
Cmp-Att-Yd-TD-INT,12-25-173-2-0,31-46-406-3-3
Sacked-Yards,3-10,6-36
Net Pass Yards,163,370
Total Yards,321,511
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,4-40,12-133
Third Down Conv.,4-12,7-14
Fourth Down Conv.,0-0,1-2
Time of Possession,23:16,36:44
