Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"David Buehler kicks off 77 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Vince Young pass incomplete short right intended for Bo Scaife,0.280,-0.270
1,14:54,2,10,TEN 20,0,0,Chris Johnson middle for 1 yard (tackle by Anthony Spencer),-0.270,-0.820
1,14:18,3,9,TEN 21,0,0,"Vince Young pass incomplete deep left intended for Kenny Britt. Penalty on Mike Jenkins: Defensive Pass Interfere, 35 yards (no play)",-0.820,2.650
1,14:09,1,10,DAL 44,0,0,Chris Johnson right guard for 2 yards (tackle by DeMarcus Ware),2.650,2.380
1,13:37,2,8,DAL 42,0,0,"Vince Young pass incomplete short left intended for Kenny Britt. Penalty on Mike Jenkins: Defensive Pass Interfere, 13 yards (no play)",2.380,3.640
1,13:32,1,10,DAL 29,0,0,Vince Young pass incomplete short middle intended for Nate Washington,3.640,3.100
1,13:27,2,10,DAL 29,0,0,Chris Johnson middle for 5 yards (tackle by Bradie James),3.100,3.070
1,12:49,3,5,DAL 24,6,0,"Vince Young pass complete deep right to Nate Washington for 24 yards, touchdown. Penalty on Orlando Scandrick: Defensive Pass Interfere (Declined)",3.070,7.000
1,,,,DAL 2,7,0,Rob Bironas kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Rob Bironas kicks off 76 yards, touchback",0.000,0.280
1,12:40,1,10,DAL 20,7,0,Tony Romo pass incomplete short middle intended for Miles Austin,0.280,-0.270
1,12:36,2,10,DAL 20,7,0,Miles Austin left end for 4 yards (tackle by Dave Ball),-0.270,-0.430
1,11:56,3,6,DAL 24,7,0,Tony Romo pass complete short middle to Miles Austin for 16 yards (tackle by Chris Hope),-0.430,1.600
1,11:21,1,10,DAL 40,7,0,Felix Jones left tackle for 20 yards (tackle by Gerald McRath),1.600,2.920
1,10:52,1,10,TEN 40,7,0,Tony Romo pass incomplete short right intended for Martellus Bennett,2.920,2.370
1,10:47,2,10,TEN 40,7,0,Tony Romo pass incomplete deep left intended for Dez Bryant,2.370,1.680
1,10:40,3,10,TEN 40,7,0,Tony Romo sacked by Jason Jones for -7 yards,1.680,0.130
1,10:11,4,17,TEN 47,7,0,"Mat McBriar punts 33 yards, fair catch by Marc Mariani",0.130,0.280
1,10:03,1,10,TEN 14,7,0,Vince Young pass complete short right to Craig Stevens for 11 yards,-0.280,0.610
1,9:31,1,10,TEN 25,7,0,Chris Johnson middle for 2 yards (tackle by Gerald Sensabaugh and Marcus Spears),0.610,0.330
1,8:50,2,8,TEN 27,7,0,Vince Young sacked by DeMarcus Ware for -2 yards,0.330,-0.620
1,8:11,3,10,TEN 25,7,0,Vince Young pass complete deep left to Kenny Britt for 18 yards (tackle by Bradie James),-0.620,1.800
1,7:29,1,10,TEN 43,7,0,Vince Young pass complete deep middle to Damian Williams for 23 yards (tackle by Gerald Sensabaugh),1.800,3.310
1,6:46,1,10,DAL 34,7,0,"Chris Johnson right end for 7 yards (tackle by Terence Newman). Penalty on Fernando Velasco: Offensive Holding, 10 yards (no play)",3.310,2.650
1,6:17,1,20,DAL 44,7,0,Vince Young pass incomplete short left intended for Nate Washington,2.650,1.420
1,6:12,2,20,DAL 44,7,0,Chris Johnson right tackle for 10 yards (tackle by Anthony Spencer),1.420,2.080
1,5:33,3,10,DAL 34,7,0,Vince Young pass incomplete short left intended for Nate Washington,2.080,1.060
1,5:27,4,10,DAL 34,10,0,Rob Bironas 52 yard field goal good,1.060,3.000
1,,,,TEN 30,10,0,"Rob Bironas kicks off 63 yards, returned by Akwasi Owusu-Ansah for 20 yards (tackle by Patrick Bailey)",0.000,0.740
1,5:16,1,10,DAL 27,10,0,Felix Jones right guard for 2 yards (tackle by Gerald McRath),0.740,0.470
1,4:36,2,8,DAL 29,10,0,Felix Jones middle for 2 yards (tackle by Jason Jones),0.470,0.040
1,3:50,3,6,DAL 31,10,0,Tony Romo pass complete short middle to Miles Austin for 28 yards (tackle by Chris Hope),0.040,2.850
1,3:03,1,10,TEN 41,10,0,Tony Romo pass complete short middle to Martellus Bennett for 11 yards (tackle by Gerald McRath),2.850,3.580
1,2:24,1,10,TEN 30,10,0,Felix Jones left end for 2 yards (tackle by Gerald McRath and Alterraun Verner),3.580,3.300
1,1:46,2,8,TEN 28,10,0,Tony Romo pass incomplete deep left intended for Jason Witten,3.300,2.610
1,1:40,3,8,TEN 28,10,0,Tony Romo sacked by Chris Hope for -6 yards,2.610,1.060
1,1:02,4,14,TEN 34,10,3,David Buehler 51 yard field goal good,1.060,3.000
1,,,,DAL 30,10,3,"David Buehler kicks off 66 yards, returned by Marc Mariani for 29 yards (tackle by Victor Butler)",0.000,1.140
1,0:50,1,10,TEN 33,10,3,Vince Young left end for 17 yards (tackle by Mike Jenkins),1.140,2.260
1,0:20,1,10,DAL 50,10,3,"Vince Young pass incomplete deep left intended for Nate Washington. Penalty on Fernando Velasco: Offensive Holding, 10 yards (no play)",2.260,1.600
1,0:12,1,20,TEN 40,10,3,Chris Johnson right tackle for 6 yards (tackle by Bradie James),1.600,1.170
Quarter,Time,Down,ToGo,Location,TEN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,TEN 46,10,3,Vince Young pass complete short left to Damian Williams for 7 yards (tackle by DeMarcus Ware),1.170,1.420
2,14:20,3,7,DAL 47,10,3,"Vince Young sacked by DeMarcus Ware for -1 yards. Penalty on Stephen Bowen: Illegal Use of Hands, 5 yards",1.420,2.720
2,13:47,1,10,DAL 43,10,3,Chris Johnson middle for 29 yards (tackle by Bradie James),2.720,4.650
2,13:47,1,10,DAL 14,10,3,Chris Johnson right end for 2 yards (tackle by Alan Ball),4.650,4.330
2,12:34,2,8,DAL 12,16,3,"Vince Young pass complete short middle to Kenny Britt for 12 yards, touchdown",4.330,7.000
2,,,,DAL 2,17,3,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,17,3,"Rob Bironas kicks off 65 yards, returned by Akwasi Owusu-Ansah for 24 yards (tackle by Tim Shaw)",0.000,0.870
2,12:22,1,10,DAL 29,17,3,Tony Romo sacked by Jason Babin for -5 yards,0.870,-0.350
2,11:44,2,15,DAL 24,17,3,Tony Romo pass complete short left to Miles Austin for 16 yards (tackle by Stephen Tulloch and Vincent Fuller),-0.350,1.600
2,11:12,1,10,DAL 40,17,3,Felix Jones middle for 5 yards (tackle by Stephen Tulloch),1.600,1.730
2,10:30,2,5,DAL 45,17,3,Tony Romo pass complete short right to Martellus Bennett for 8 yards (tackle by Michael Griffin and Stephen Tulloch),1.730,2.460
2,9:45,1,10,TEN 47,17,3,Tony Romo right end for 9 yards (tackle by Michael Griffin),2.460,3.130
2,9:08,2,1,TEN 38,17,3,Felix Jones middle for 4 yards (tackle by Jacob Ford),3.130,3.310
2,8:28,1,10,TEN 34,17,3,Tony Romo sacked by Jason Jones for -9 yards,3.310,1.550
2,7:54,2,19,TEN 43,17,3,"Marion Barber middle for 2 yards (tackle by Chris Hope and Stephen Tulloch). Penalty on Marc Colombo: Unnecessary Roughness, 15 yards",1.550,-0.200
2,7:30,2,32,DAL 44,17,3,"Tony Romo pass complete deep middle to Miles Austin for 26 yards (tackle by Michael Griffin). Penalty on Doug Free: Offensive Holding (Offsetting), Penalty on Tony Brown: Defensive Offside (Offsetting) (no play)",-0.200,-0.200
2,6:56,2,32,DAL 44,17,3,Tony Romo sacked by Jason Babin for -2 yards,-0.200,-1.090
2,6:22,3,34,DAL 42,17,3,Tony Romo pass complete short left to Jason Witten for 3 yards (tackle by Vincent Fuller),-1.090,-0.390
2,5:49,4,31,DAL 45,17,3,Mat McBriar punts 39 yards,-0.390,0.140
2,5:36,1,10,TEN 16,17,3,Javon Ringer right tackle for 1 yard (tackle by Marcus Spears and Jay Ratliff),-0.140,-0.510
2,5:36,2,9,TEN 17,17,3,Vince Young pass complete short right to Javon Ringer for 9 yards (tackle by Leon Williams and Alan Ball),-0.510,0.670
2,4:21,1,10,TEN 26,17,3,Javon Ringer right guard for 4 yards (tackle by Jay Ratliff),0.670,0.670
2,3:46,2,6,TEN 30,17,3,Javon Ringer left guard for -1 yards (tackle by Marcus Spears),0.670,-0.160
2,3:05,3,7,TEN 29,17,3,Vince Young pass incomplete deep middle intended for Damian Williams (defended by Orlando Scandrick),-0.160,-1.440
2,2:58,4,7,TEN 29,17,3,"Brett Kern punts 45 yards, returned by Dez Bryant for -1 yards (tackle by Ryan Mouton)",-1.440,-0.610
2,2:48,1,10,DAL 25,17,3,Tony Romo pass complete short middle to Miles Austin for 8 yards (tackle by Vincent Fuller),0.610,1.140
2,2:25,2,2,DAL 33,17,3,Tony Romo pass complete short right to Sam Hurd for 5 yards (tackle by Cortland Finnegan),1.140,1.470
2,2:00,1,10,DAL 38,17,3,Tony Romo pass complete short right to Roy Williams for 17 yards (tackle by Stephen Tulloch),1.470,2.590
2,1:39,1,10,TEN 45,17,3,"Penalty on Andre Gurode: False Start, 5 yards (no play)",2.590,2.260
