Unnamed: 0,HOU,IND
First Downs,14,20
Rush-Yds-TDs,41-137-0,28-110-0
Cmp-Att-Yd-TD-INT,13-25-157-0-1,18-34-187-2-1
Sacked-Yards,1-5,2-19
Net Pass Yards,152,168
Total Yards,289,278
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,8-66,7-45
Third Down Conv.,5-16,2-12
Fourth Down Conv.,0-3,0-0
Time of Possession,31:05,28:55
