Quarter,Time,Tm,Detail,BUF,DAL
1.0,12:12,Cowboys,Dez Bryant 34 yard pass from Tony Romo (Dan Bailey kick),0,7
,3:05,Cowboys,Laurent Robinson 5 yard pass from Tony Romo (Dan Bailey kick),0,14
2.0,12:17,Cowboys,Laurent Robinson 58 yard pass from Tony Romo (Dan Bailey kick),0,21
,8:16,Bills,David Nelson 3 yard pass from Ryan Fitzpatrick (Dave Rayner kick),7,21
,1:05,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),7,28
3.0,2:25,Cowboys,Dan Bailey 45 yard field goal,7,31
,0:16,Cowboys,Dan Bailey 36 yard field goal,7,34
4.0,5:11,Cowboys,Dan Bailey 31 yard field goal,7,37
,4:54,Cowboys,Terence Newman 43 yard interception return (Dan Bailey kick),7,44
