Unnamed: 0,TAM,ATL
First Downs,27,23
Rush-Yds-TDs,23-94-2,28-148-2
Cmp-Att-Yd-TD-INT,27-44-283-0-0,27-36-368-2-0
Sacked-Yards,1-4,0-0
Net Pass Yards,279,368
Total Yards,373,516
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,2-15,4-42
Third Down Conv.,4-11,11-14
Fourth Down Conv.,1-2,0-0
Time of Possession,29:54,30:06
