Quarter,Time,Tm,Detail,TAM,ATL
1.0,9:45,Buccaneers,Patrick Murray 36 yard field goal,3,0
,3:50,Falcons,Matt Bryant 49 yard field goal,3,3
2.0,12:36,Falcons,Julio Jones 51 yard pass from Mohamed Sanu (Matt Bryant kick),3,10
,7:26,Falcons,Julio Jones 25 yard pass from Matt Ryan (Matt Bryant kick),3,17
,1:36,Buccaneers,Patrick Murray 27 yard field goal,6,17
,0:00,Falcons,Matt Bryant 36 yard field goal,6,20
3.0,10:04,Falcons,Tevin Coleman 3 yard rush (Matt Bryant kick),6,27
,6:07,Buccaneers,Peyton Barber 2 yard rush (Patrick Murray kick),13,27
4.0,13:47,Buccaneers,Peyton Barber 1 yard rush (Patrick Murray kick),20,27
,1:53,Falcons,Tevin Coleman 14 yard rush (Matt Bryant kick),20,34
