Unnamed: 0,KAN,IND
First Downs,7,28
Rush-Yds-TDs,17-44-0,40-188-1
Cmp-Att-Yd-TD-INT,14-24-107-1-2,31-39-252-1-3
Sacked-Yards,4-25,1-5
Net Pass Yards,82,247
Total Yards,126,435
Fumbles-Lost,2-1,1-0
Turnovers,3,3
Penalties-Yards,2-13,3-40
Third Down Conv.,1-11,6-12
Fourth Down Conv.,1-2,0-1
Time of Possession,20:37,39:23
