Quarter,Time,Tm,Detail,KAN,IND
1.0,8:41,Colts,Adam Vinatieri 48 yard field goal,0,3
,2:09,Colts,Adam Vinatieri 19 yard field goal,0,6
2.0,0:00,Colts,Adam Vinatieri 50 yard field goal,0,9
3.0,4:14,Colts,Joseph Addai 6 yard rush (Adam Vinatieri kick),0,16
,0:08,Chiefs,Tony Gonzalez 6 yard pass from Trent Green (Kris Wilson pass from Trent Green),8,16
4.0,10:16,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Adam Vinatieri kick),8,23
