Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 61 yards, returned by Tommylee Lewis for 28 yards (tackle by Shaun Bradley)",0.000,1.070
1,14:54,1,10,NOR 32,0,0,Taysom Hill pass complete short left to Latavius Murray for -6 yards (tackle by Nickell Robey-Coleman),1.070,-0.280
1,14:15,2,16,NOR 26,0,0,Alvin Kamara left end for 4 yards (tackle by Javon Hargrave and Alex Singleton),-0.280,-0.430
1,13:41,3,12,NOR 30,0,0,Taysom Hill pass complete short left to Alvin Kamara for 2 yards (tackle by Rodney McLeod),-0.430,-1.240
1,13:11,4,10,NOR 32,0,0,"Thomas Morstead punts 49 yards, returned by Greg Ward for 5 yards (tackle by Alex Anzalone)",-1.240,-0.540
1,13:01,1,10,PHI 24,0,0,Jalen Hurts up the middle for 3 yards (tackle by Shy Tuttle and Demario Davis),0.540,0.400
1,12:15,2,7,PHI 27,0,0,Miles Sanders left end for 3 yards (tackle by Janoris Jenkins),0.400,0.100
1,11:37,3,4,PHI 30,0,0,Jalen Hurts right end for 5 yards (tackle by Malcolm Jenkins),0.100,1.270
1,10:58,1,10,PHI 35,0,0,Boston Scott left end for 2 yards (tackle by Malcolm Roach and Sheldon Rankins),1.270,0.990
1,10:19,2,8,PHI 37,0,0,Jalen Hurts pass complete short left to Miles Sanders for 9 yards (tackle by Malcolm Jenkins),0.990,1.990
1,9:48,1,10,PHI 46,0,0,Jalen Hurts pass incomplete short right intended for Miles Sanders (defended by Cameron Jordan),1.990,1.450
1,9:44,2,10,PHI 46,0,0,Jalen Hurts pass complete short left to Zach Ertz for 2 yards (tackle by Kwon Alexander),1.450,1.030
1,9:01,3,8,PHI 48,0,0,Jalen Hurts pass complete short right to Jalen Reagor for 7 yards (tackle by Demario Davis and Kwon Alexander),1.030,0.270
1,8:16,4,1,NOR 45,0,0,Jalen Hurts up the middle for 3 yards (tackle by Marcus Williams),0.270,2.790
1,7:38,1,10,NOR 42,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards,2.790,2.920
1,6:58,2,5,NOR 37,0,0,Miles Sanders left tackle for 4 yards (tackle by David Onyemata),2.920,2.740
1,6:12,3,1,NOR 33,0,0,"Miles Sanders up the middle for 4 yards (tackle by Chauncey Gardner-Johnson) Penalty on PHI: Illegal Shift, 5 yards (no play)",2.740,2.080
1,5:50,3,6,NOR 38,0,0,"Penalty on Greg Ward: False Start, 5 yards (no play)",2.080,1.420
1,5:35,3,11,NOR 43,0,0,Jalen Hurts right end for 9 yards (tackle by P.J. Williams),1.420,1.100
1,4:55,4,2,NOR 34,0,0,Miles Sanders left guard for -3 yards (tackle by Malcolm Jenkins),1.100,-1.400
1,4:50,1,10,NOR 37,0,0,Taysom Hill pass complete deep right to Michael Thomas for 18 yards (tackle by Alex Singleton),1.400,2.590
1,4:12,1,10,PHI 45,0,0,Latavius Murray right guard for 2 yards (tackle by Fletcher Cox and Javon Hargrave),2.590,2.310
1,3:35,2,8,PHI 43,0,0,Alvin Kamara right end for 3 yards (tackle by Fletcher Cox),2.310,2.010
1,3:01,3,5,PHI 40,0,0,Taysom Hill pass complete short left to Michael Thomas for 5 yards (tackle by Alex Singleton),2.010,3.250
1,2:26,1,10,PHI 35,0,0,Taysom Hill pass incomplete short right intended for Jared Cook,3.250,2.700
1,2:20,2,10,PHI 35,0,0,Alvin Kamara up the middle for 2 yards (tackle by Alex Singleton),2.700,2.280
1,1:46,3,8,PHI 33,0,0,Taysom Hill pass complete short left to Michael Thomas for 6 yards (tackle by Darius Slay),2.280,1.800
1,1:02,4,2,PHI 27,0,0,Wil Lutz 45 yard field goal no good,1.800,-1.270
1,0:58,1,10,PHI 35,0,0,Jalen Hurts pass incomplete deep left intended for Jalen Reagor,1.270,0.720
1,0:50,2,10,PHI 35,0,0,Jalen Hurts pass complete short middle to Quez Watkins for 3 yards (tackle by Chauncey Gardner-Johnson),0.720,0.430
1,0:17,3,7,PHI 38,0,0,Jalen Hurts pass complete short left to Jalen Reagor for 39 yards (tackle by Marcus Williams),0.430,4.040
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 23,0,0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,4.040,3.500
2,14:54,2,10,NOR 23,0,0,Miles Sanders left end for 7 yards (tackle by Malcolm Roach),3.500,3.850
2,14:14,3,3,NOR 16,0,0,Miles Sanders left guard for 1 yard (tackle by Cameron Jordan),3.850,2.570
2,13:30,4,2,NOR 15,0,6,"Jalen Hurts pass complete short left to Alshon Jeffery for 15 yards, touchdown, touchdown. Penalty on Kwon Alexander: Roughing the Passer, 15 yards",2.570,7.000
2,13:25,,,NOR 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
2,13:25,,,PHI 50,0,7,"Jake Elliott kicks off 50 yards, touchback.",0.000,0.610
2,13:25,1,10,NOR 25,0,7,Latavius Murray up the middle for 2 yards (tackle by Jalen Mills),0.610,0.330
2,12:55,2,8,NOR 27,0,7,Taysom Hill pass complete short left to Alvin Kamara for 10 yards (tackle by Darius Slay and Rodney McLeod),0.330,1.400
2,12:19,1,10,NOR 37,0,7,Taysom Hill pass complete short left to Michael Thomas for 2 yards (tackle by Darius Slay),1.400,1.130
2,11:43,2,8,NOR 39,0,7,Taysom Hill right end for 3 yards (tackle by Duke Riley),1.130,0.830
2,10:59,3,5,NOR 42,0,7,Taysom Hill pass incomplete short left intended for Tre'Quan Smith,0.830,-0.590
2,10:54,4,5,NOR 42,0,7,"Thomas Morstead punts 58 yards, touchback.",-0.590,-0.280
2,10:43,1,10,PHI 20,0,7,Jalen Hurts pass complete short left to Dallas Goedert for 19 yards (tackle by Kwon Alexander),0.280,1.530
2,9:57,1,10,PHI 39,0,7,Miles Sanders up the middle for 1 yard (tackle by Chauncey Gardner-Johnson and David Onyemata),1.530,1.120
2,9:16,2,9,PHI 40,0,7,Jalen Hurts pass complete short left to Miles Sanders for no gain (tackle by Kwon Alexander),1.120,0.430
2,8:31,3,9,PHI 40,0,7,Jalen Hurts pass incomplete short right,0.430,-0.720
2,8:22,4,9,PHI 40,0,7,"Cameron Johnston punts 42 yards, returned by Tommylee Lewis for 2 yards (tackle by Kevon Seymour)",-0.720,-0.280
2,8:10,1,10,NOR 20,0,7,Alvin Kamara left end for 16 yards (tackle by Vinny Curry),0.280,1.330
2,7:36,1,10,NOR 36,0,7,Alvin Kamara up the middle for 3 yards (tackle by Josh Sweat and Malik Jackson),1.330,1.200
2,7:04,2,7,NOR 39,0,7,Taysom Hill pass short left intended for Alvin Kamara is intercepted by Duke Riley at NO-39 and returned for 7 yards,1.200,-3.450
2,6:57,1,10,NOR 32,0,7,Jalen Hurts pass complete short middle to Zach Ertz for 6 yards (tackle by Malcolm Jenkins),3.450,3.710
2,6:20,2,4,NOR 26,0,7,Jalen Hurts pass incomplete deep left intended for Jalen Reagor,3.710,3.010
2,6:15,3,4,NOR 26,0,7,Jalen Hurts pass incomplete short right intended for Zach Ertz,3.010,1.810
2,6:09,4,4,NOR 26,0,10,Jake Elliott 44 yard field goal good,1.810,3.000
2,6:05,,,PHI 35,0,10,"Jake Elliott kicks off 65 yards, returned by Tommylee Lewis for 27 yards (tackle by Josh Sweat)",0.000,0.740
2,5:59,1,10,NOR 27,0,10,Taysom Hill sacked by Javon Hargrave for -5 yards,0.740,-0.480
2,5:22,2,15,NOR 22,0,10,Taysom Hill pass complete short right to Alvin Kamara for 9 yards (tackle by Darius Slay),-0.480,0.040
2,4:48,3,6,NOR 31,0,10,Taysom Hill pass complete short left to Michael Thomas for 8 yards (tackle by Alex Singleton),0.040,1.530
2,4:14,1,10,NOR 39,0,10,Latavius Murray right guard for 7 yards (tackle by Jalen Mills),1.530,1.930
2,3:45,2,3,NOR 46,0,10,Taysom Hill pass complete short left to Emmanuel Sanders for 2 yards (tackle by Nickell Robey-Coleman),1.930,1.490
2,3:04,3,1,NOR 48,0,10,Taysom Hill up the middle for no gain (tackle by Duke Riley and Derek Barnett),1.490,-0.190
2,2:24,4,1,NOR 48,0,10,Thomas Morstead punts 48 yards out of bounds,-0.190,0.380
2,2:13,1,10,PHI 4,0,10,Miles Sanders left tackle for 1 yard (tackle by David Onyemata and Shy Tuttle),-0.380,-0.710
2,2:00,2,9,PHI 5,0,10,"Penalty on Nate Herbig: False Start, 2 yards (no play)",-0.710,-0.850
2,2:00,2,11,PHI 3,0,10,Jalen Hurts left end for 15 yards (tackle by Trey Hendrickson),-0.850,0.040
2,1:52,,,,,,Timeout #1 by New Orleans Saints,,
2,1:52,1,10,PHI 18,0,10,Jalen Hurts pass incomplete short right intended for Greg Ward,0.040,-0.490
2,1:47,2,10,PHI 18,0,16,"Miles Sanders left tackle for 82 yards, touchdown",-0.490,7.000
2,1:35,,,NOR 15,0,17,Jake Elliott kicks extra point good,0.000,0.000
2,1:35,,,PHI 35,0,17,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
