Quarter,Time,Tm,Detail,NOR,PHI
2.0,13:25,Eagles,Alshon Jeffery 15 yard pass from Jalen Hurts (Jake Elliott kick),0,7
,6:05,Eagles,Jake Elliott 44 yard field goal,0,10
,1:35,Eagles,Miles Sanders 82 yard rush (Jake Elliott kick),0,17
3.0,7:55,Saints,Alvin Kamara 5 yard rush (Wil Lutz kick),7,17
,1:40,Saints,Emmanuel Sanders 37 yard pass from Taysom Hill (Wil Lutz kick),14,17
4.0,6:22,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),14,24
,1:24,Saints,Jared Cook 20 yard pass from Taysom Hill (Wil Lutz kick),21,24
