Unnamed: 0,NOR,PHI
First Downs,20,21
Rush-Yds-TDs,20-96-1,36-246-2
Cmp-Att-Yd-TD-INT,28-38-291-2-1,17-30-167-1-0
Sacked-Yards,5-29,0-0
Net Pass Yards,262,167
Total Yards,358,413
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,8-52,6-27
Third Down Conv.,5-12,4-13
Fourth Down Conv.,0-1,2-4
Time of Possession,29:44,30:16
