Quarter,Time,Tm,Detail,ARI,SFO
1.0,11:06,Cardinals,Neil Rackers 25 yard field goal,3,0
,6:00,49ers,Frank Gore 41 yard rush (Joe Nedney kick),3,7
2.0,10:25,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Neil Rackers kick),10,7
,1:52,49ers,Joe Nedney 39 yard field goal,10,10
3.0,8:25,Cardinals,Neil Rackers 31 yard field goal,13,10
,4:03,Cardinals,Tim Hightower 2 yard rush (Neil Rackers kick),20,10
4.0,12:05,49ers,Joe Nedney 30 yard field goal,20,13
,1:57,Cardinals,Neil Rackers 30 yard field goal,23,13
