Unnamed: 0,ARI,SFO
First Downs,18,13
Rush-Yds-TDs,39-109-1,20-108-1
Cmp-Att-Yd-TD-INT,19-30-197-1-0,14-20-195-0-1
Sacked-Yards,3-21,4-12
Net Pass Yards,176,183
Total Yards,285,291
Fumbles-Lost,0-0,5-4
Turnovers,0,5
Penalties-Yards,4-40,3-20
Third Down Conv.,5-16,3-8
Fourth Down Conv.,2-3,0-0
Time of Possession,37:05,22:55
