Quarter,Time,Tm,Detail,CHI,GNB
1.0,9:49,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,8:56,Packers,Randall Cobb 2 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,4:48,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),0,21
,0:08,Bears,Kendall Wright 5 yard pass from Mike Glennon (Connor Barth kick),7,21
3.0,4:09,Packers,Jordy Nelson 4 yard pass from Aaron Rodgers (Mason Crosby kick),7,28
4.0,14:54,Packers,Jordy Nelson 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,35
,6:01,Bears,Jordan Howard 3 yard rush (Connor Barth kick),14,35
