Unnamed: 0,CHI,GNB
First Downs,20,17
Rush-Yds-TDs,30-103-1,24-91-1
Cmp-Att-Yd-TD-INT,21-33-218-1-2,19-27-179-4-0
Sacked-Yards,1-13,2-10
Net Pass Yards,205,169
Total Yards,308,260
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,8-62,7-55
Third Down Conv.,5-12,7-14
Fourth Down Conv.,2-2,1-1
Time of Possession,31:51,28:09
