Unnamed: 0,MIN,DET
First Downs,23,23
Rush-Yds-TDs,17-22-1,30-134-1
Cmp-Att-Yd-TD-INT,31-41-425-2-0,27-39-330-3-0
Sacked-Yards,4-31,0-0
Net Pass Yards,394,330
Total Yards,416,464
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,3-25,7-51
Third Down Conv.,4-10,7-15
Fourth Down Conv.,1-2,1-2
Time of Possession,28:06,31:54
