#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:59,MIN 21,6,2:41,25,Downs
2,1,10:27,MIN 25,10,6:25,75,Touchdown
3,2,14:56,MIN 39,5,2:06,13,Punt
4,2,7:58,MIN 10,3,1:16,9,Punt
5,2,6:34,MIN 25,12,5:35,67,Fumble
6,2,0:10,MIN 37,2,0:10,7,End of Half
7,3,15:00,MIN 25,3,2:12,4,Punt
8,3,5:44,MIN 25,7,3:27,75,Touchdown
9,4,13:28,MIN 25,7,2:41,52,Field Goal
10,4,4:06,MIN 25,6,1:16,75,Touchdown
11,4,0:17,MIN 25,2,0:17,20,Fumble
