Quarter,Time,Tm,Detail,MIN,DET
1.0,10:27,Lions,Jameson Williams 41 yard pass from Jared Goff (Michael Badgley kick),0,7
,4:02,Vikings,Dalvin Cook 1 yard rush (Greg Joseph kick),7,7
2.0,6:34,Lions,DJ Chark 48 yard pass from Jared Goff (Michael Badgley kick),7,14
3.0,5:44,Lions,Josh Reynolds 5 yard pass from Jared Goff (Michael Badgley kick),7,21
,2:17,Vikings,Adam Thielen 23 yard pass from Kirk Cousins (pass failed),13,21
4.0,13:28,Lions,Justin Jackson 15 yard rush (Michael Badgley kick),13,28
,10:47,Vikings,Greg Joseph 41 yard field goal,16,28
,4:06,Lions,Michael Badgley 41 yard field goal,16,31
,2:50,Vikings,K.J. Osborn 15 yard pass from Kirk Cousins (Greg Joseph kick),23,31
,0:17,Lions,Michael Badgley 49 yard field goal,23,34
