Unnamed: 0,PIT,JAX
First Downs,15,20
Rush-Yds-TDs,25-120-0,34-100-0
Cmp-Att-Yd-TD-INT,14-17-221-2-0,16-27-268-1-0
Sacked-Yards,3-25,2-9
Net Pass Yards,196,259
Total Yards,316,359
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,11-82,3-25
Third Down Conv.,5-10,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,25:23,34:37
