Quarter,Time,Tm,Detail,PIT,JAX
1.0,9:45,Steelers,Hines Ward 37 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
,2:03,Jaguars,Troy Edwards 22 yard pass from Byron Leftwich (Josh Scobee kick),7,7
2.0,11:47,Steelers,Jay Riemersma 26 yard pass from Ben Roethlisberger (Jeff Reed kick),14,7
3.0,8:47,Jaguars,Josh Scobee 20 yard field goal,14,10
,0:08,Jaguars,Josh Scobee 29 yard field goal,14,13
4.0,1:55,Jaguars,Josh Scobee 36 yard field goal,14,16
,0:18,Steelers,Jeff Reed 37 yard field goal,17,16
