Quarter,Time,Tm,Detail,TEN,NWE
1.0,7:37,Patriots,Kendrick Bourne 4 yard pass from Mac Jones (Nick Folk kick),0,7
2.0,14:28,Titans,Nick Westbrook-Ikhine 1 yard pass from Ryan Tannehill (Randy Bullock kick failed),6,7
,9:50,Patriots,Nick Folk 22 yard field goal,6,10
,3:04,Patriots,Nick Folk 37 yard field goal,6,13
,0:58,Patriots,Nick Folk 44 yard field goal,6,16
,0:37,Titans,Dontrell Hilliard 68 yard rush (Randy Bullock kick),13,16
3.0,11:13,Patriots,Nick Folk 28 yard field goal,13,19
,5:01,Patriots,Kendrick Bourne 41 yard pass from Mac Jones (Nick Folk kick),13,26
4.0,6:09,Patriots,Nick Folk 52 yard field goal,13,29
,4:38,Patriots,Damien Harris 14 yard rush (Nick Folk kick),13,36
