Unnamed: 0,TEN,NWE
First Downs,18,23
Rush-Yds-TDs,39-270-1,24-105-1
Cmp-Att-Yd-TD-INT,11-21-93-1-1,23-32-310-2-0
Sacked-Yards,2-8,2-21
Net Pass Yards,85,289
Total Yards,355,394
Fumbles-Lost,5-3,0-0
Turnovers,4,0
Penalties-Yards,5-50,4-35
Third Down Conv.,5-11,4-10
Fourth Down Conv.,1-3,0-0
Time of Possession,31:02,28:58
