#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:26,BAL 44,6,2:46,11,Punt
2,1,9:04,BAL 36,6,3:23,42,Interception
3,1,1:50,BAL 4,2,0:43,96,Touchdown
4,2,14:47,BAL 16,3,2:13,2,Punt
5,2,11:05,BAL 12,9,4:38,47,Punt
6,2,4:19,BAL 29,3,0:57,8,Punt
7,2,1:44,BAL 26,9,1:41,43,Field Goal
8,3,15:00,BAL 25,6,5:23,16,Punt
9,3,8:33,BAL 24,3,2:06,-5,Punt
10,3,6:20,PIT 32,4,1:30,8,Field Goal
11,3,3:18,BAL 23,6,3:18,6,Punt
12,4,8:38,BAL 36,3,1:48,9,Punt
13,4,3:04,BAL 25,3,0:56,-5,Punt
14,4,0:48,PIT 36,2,0:48,-2,End of Game
