Unnamed: 0,PIT,BAL
First Downs,15,13
Rush-Yds-TDs,18-36-1,29-50-0
Cmp-Att-Yd-TD-INT,23-45-264-1-1,19-31-250-1-1
Sacked-Yards,2-23,3-26
Net Pass Yards,241,224
Total Yards,277,274
Fumbles-Lost,2-0,2-0
Turnovers,1,1
Penalties-Yards,13-99,10-94
Third Down Conv.,4-16,4-17
Fourth Down Conv.,1-2,0-0
Time of Possession,27:50,32:10
