Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass incomplete deep right intended for David Johnson,0.610,0.060
1,14:52,2,10,PIT 25,0,0,Le'Veon Bell right guard for 1 yard (tackle by Lawrence Guy),0.060,-0.490
1,14:05,3,9,PIT 26,0,0,Le'Veon Bell left tackle for 2 yards (tackle by Timmy Jernigan and Eric Weddle),-0.490,-1.500
1,13:33,4,7,PIT 28,0,0,"Jordan Berry punts 28 yards, out of bounds",-1.500,-1.860
1,13:26,1,10,BAL 44,0,0,Terrance West right guard for 8 yards (tackle by Jarvis Jones),1.860,2.400
1,12:54,2,2,PIT 48,0,0,Joe Flacco pass incomplete short right intended for Steve Smith,2.400,1.690
1,12:48,3,2,PIT 48,0,0,Terrance West right tackle for 5 yards (tackle by Lawrence Timmons and Ryan Shazier),1.690,2.720
1,12:12,1,10,PIT 43,0,0,Kenneth Dixon left guard for 6 yards (tackle by Anthony Chickillo),2.720,2.990
1,11:37,2,4,PIT 37,0,0,--,2.990,2.540
1,10:58,3,2,PIT 35,0,0,"Joe Flacco pass incomplete short middle intended for Dennis Pitta. Penalty on Ronnie Stanley: Illegal Use of Hands, 10 yards (no play)",2.540,1.220
1,10:53,3,12,PIT 45,0,0,Joe Flacco pass incomplete deep left intended for Mike Wallace,1.220,0.270
1,10:48,4,12,PIT 45,0,0,"Sam Koch punts 33 yards, fair catch by Antonio Brown",0.270,0.350
1,10:40,1,10,PIT 12,0,0,Le'Veon Bell right guard for 2 yards (tackle by Eric Weddle and Brandon Williams),-0.350,-0.610
1,10:04,2,8,PIT 14,0,0,Le'Veon Bell right guard for 3 yards (tackle by Zach Orr and Michael Pierce),-0.610,-0.840
1,9:22,3,5,PIT 17,0,0,Ben Roethlisberger pass incomplete deep right intended for Darrius Heyward-Bey (defended by Lardarius Webb),-0.840,-2.320
