Unnamed: 0,PHI,DAL
First Downs,21,21
Rush-Yds-TDs,34-137-1,18-56-0
Cmp-Att-Yd-TD-INT,17-27-263-2-0,30-46-358-2-2
Sacked-Yards,5-34,0-0
Net Pass Yards,229,358
Total Yards,366,414
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,6-50,1-5
Third Down Conv.,5-13,3-11
Fourth Down Conv.,0-1,1-2
Time of Possession,29:43,30:17
