Quarter,Time,Tm,Detail,PHI,DAL
1.0,7:07,Eagles,Alex Henery 47 yard field goal,3,0
2.0,14:13,Eagles,LeSean McCoy 3 yard pass from Nick Foles (Alex Henery kick),10,0
,8:16,Cowboys,Gavin Escobar 17 yard pass from Kyle Orton (Dan Bailey kick),10,7
,1:19,Eagles,Brent Celek 14 yard pass from Nick Foles (Alex Henery kick),17,7
,0:18,Cowboys,Dan Bailey 44 yard field goal,17,10
3.0,8:59,Cowboys,Dan Bailey 43 yard field goal,17,13
,5:38,Cowboys,Dan Bailey 36 yard field goal,17,16
4.0,6:09,Eagles,Bryce Brown 6 yard rush (Alex Henery kick),24,16
,3:50,Cowboys,Dez Bryant 32 yard pass from Kyle Orton (pass failed),24,22
