Quarter,Time,Tm,Detail,CIN,NWE
1.0,9:47,Patriots,Wes Welker 9 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,2:29,Patriots,Stephen Gostkowski 32 yard field goal,0,10
2.0,8:58,Patriots,Wes Welker 4 yard pass from Tom Brady (Stephen Gostkowski kick),0,17
,5:38,Patriots,Gary Guyton 59 yard interception return (Stephen Gostkowski kick),0,24
,1:14,Bengals,Mike Nugent 54 yard field goal,3,24
3.0,14:48,Patriots,Brandon Tate 97 yard kickoff return (Stephen Gostkowski kick),3,31
,7:54,Bengals,Jermaine Gresham 1 yard pass from Carson Palmer (Mike Nugent kick),10,31
,0:22,Bengals,Chad Johnson 28 yard pass from Carson Palmer (Mike Nugent kick),17,31
4.0,7:41,Patriots,Rob Gronkowski 1 yard pass from Tom Brady (Stephen Gostkowski kick),17,38
,3:57,Bengals,Cedric Benson 1 yard rush (Mike Nugent kick),24,38
