Unnamed: 0,STL,ARI
First Downs,18,14
Rush-Yds-TDs,36-119-1,19-105-0
Cmp-Att-Yd-TD-INT,18-29-187-0-1,11-29-148-0-2
Sacked-Yards,2-18,4-29
Net Pass Yards,169,119
Total Yards,288,224
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,2-15,6-54
Third Down Conv.,6-17,1-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:46,26:14
