Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 69 yards, returned by Tim Dwight for 25 yards (tackle by Siddeeq Shabazz)",0.000,0.670
1,14:55,1,10,SDG 26,0,0,"Drew Brees pass incomplete intended for Eric Parker is intercepted by Kevin Mathis at SDG-46 and returned for 26 yards. Penalty on Brady Smith: Defensive Offside, 5 yards (no play)",0.670,1.400
1,14:42,1,5,SDG 31,0,0,Reche Caldwell left end for 12 yards (tackle by Bryan Scott),1.400,1.800
1,14:01,1,10,SDG 43,0,0,"Penalty on Kassim Osgood: False Start, 5 yards (no play)",1.800,1.470
1,13:35,1,15,SDG 38,0,0,"Drew Brees pass complete to Reche Caldwell for 9 yards (tackle by Aaron Beasley). Reche Caldwell fumbles (forced by Aaron Beasley), ball out of bounds at SDG-48",1.470,1.930
1,12:54,2,5,SDG 48,0,0,"LaDainian Tomlinson up the middle for 3 yards (tackle by Ed Jasper). Penalty on Roman Oben: Illegal Shift, 5 yards (no play)",1.930,1.250
1,12:26,2,10,SDG 43,0,0,Drew Brees pass incomplete is intercepted by Keith Brooking at SDG-48 and returned for 2 yards (tackle by Shane Olivea),1.250,-2.520
1,12:18,1,10,SDG 46,0,0,Michael Vick pass incomplete intended for Peerless Price,2.520,1.980
1,12:11,,,,0,0,Timeout #1 by San Diego Chargers,0.000,1.980
1,12:11,2,10,SDG 46,0,0,Michael Vick sacked by Igor Olshansky for -5 yards,1.980,0.630
1,11:48,3,15,ATL 49,0,0,Michael Vick pass incomplete intended for Dez White (defended by Dave Ball),0.630,-0.130
1,11:42,4,15,ATL 49,0,0,"Chris Mohr punts 41 yards, fair catch by Eric Parker",-0.130,0.380
1,11:34,1,10,SDG 10,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Cleveland Pinkney),-0.380,-0.630
1,10:59,2,8,SDG 12,0,0,Drew Brees pass complete to Eric Parker for 8 yards (tackle by Kevin Mathis),-0.630,0.280
1,10:18,1,10,SDG 20,0,0,LaDainian Tomlinson right tackle for 4 yards (tackle by Kevin Mathis),0.280,0.270
1,9:41,2,6,SDG 24,0,0,LaDainian Tomlinson right tackle for 10 yards (tackle by Cory Hall),0.270,1.200
1,9:13,1,10,SDG 34,0,0,LaDainian Tomlinson left end for 1 yard (tackle by Aaron Beasley),1.200,0.790
1,8:41,2,9,SDG 35,0,0,Tim Dwight left end for 4 yards (tackle by Kevin Mathis),0.790,0.630
1,8:02,3,5,SDG 39,0,0,Drew Brees pass complete to LaDainian Tomlinson for no gain,0.630,-0.780
1,7:25,4,5,SDG 39,0,0,"Mike Scifres punts 47 yards, fair catch by Allen Rossum",-0.780,0.280
1,7:16,1,10,ATL 14,0,0,Warrick Dunn right end for 2 yards (tackle by Jacques Cesaire),-0.280,-0.510
1,6:40,2,8,ATL 16,0,0,Michael Vick pass complete to Dwayne Blakley for 4 yards (tackle by Steve Foley),-0.510,-0.680
1,6:02,3,4,ATL 20,0,0,"Michael Vick pass incomplete intended for Peerless Price. Penalty on Terrence Kiel: Illegal Contact, 5 yards (no play)",-0.680,0.610
1,5:57,1,10,ATL 25,0,0,Michael Vick pass complete to Peerless Price for 17 yards,0.610,1.730
1,5:37,1,10,ATL 42,0,0,Warrick Dunn up the middle for 4 yards (tackle by Donnie Edwards),1.730,1.730
1,4:59,2,6,ATL 46,0,0,Michael Vick pass incomplete intended for Peerless Price,1.730,1.030
1,4:53,3,6,ATL 46,0,0,Michael Vick left end for 3 yards (tackle by Steve Foley),1.030,-0.130
1,4:04,4,3,ATL 49,0,0,"Chris Mohr punts 36 yards, fair catch by Eric Parker",-0.130,0.220
1,3:56,1,10,SDG 15,0,0,Drew Brees pass complete to Eric Parker for 11 yards (tackle by Kevin Mathis),-0.220,0.670
1,3:27,1,10,SDG 26,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Matt Stewart),0.670,0.270
1,2:58,2,9,SDG 27,0,0,"Penalty on Cleveland Pinkney: Neutral Zone Infraction, 5 yards (no play)",0.270,0.940
1,2:37,2,4,SDG 32,0,0,Drew Brees pass incomplete intended for Kassim Osgood,0.940,0.230
1,2:31,3,4,SDG 32,0,0,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Allen Rossum),0.230,-1.040
1,1:52,4,1,SDG 35,0,0,"Mike Scifres punts 35 yards. Penalty on Drayton Florence: Illegal Bat (Declined), Penalty on Drayton Florence: Illegal Touch Kick",-1.040,-0.940
1,1:39,1,10,ATL 30,0,0,T.J. Duckett up the middle for 7 yards (tackle by Ben Leber),0.940,1.340
1,1:04,2,3,ATL 37,0,0,T.J. Duckett left tackle for 4 yards (tackle by DeQuincy Scott),1.340,1.660
1,0:30,1,10,ATL 41,0,0,Michael Vick pass complete to Justin Griffith for 7 yards (tackle by Donnie Edwards),1.660,2.070
Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,ATL 48,0,0,"T.J. Duckett up the middle for -1 yards (tackle by Donnie Edwards). T.J. Duckett fumbles (forced by Donnie Edwards), recovered by Jamar Fletcher at SDG-47 and returned for 7 yards (tackle by Peerless Price)",2.070,-2.520
2,14:30,1,10,ATL 46,0,0,LaDainian Tomlinson up the middle for 3 yards,2.520,2.380
2,14:10,2,7,ATL 43,0,0,Drew Brees pass incomplete intended for Lorenzo Neal,2.380,1.680
2,14:04,3,7,ATL 43,0,0,Drew Brees pass complete to Antonio Gates for 5 yards (tackle by Keith Brooking),1.680,0.720
2,13:19,4,2,ATL 38,0,0,Drew Brees pass complete to Lorenzo Neal for 1 yard,0.720,-1.400
2,13:13,1,10,ATL 37,0,0,T.J. Duckett up the middle for 3 yards (tackle by Donnie Edwards),1.400,1.260
2,12:43,2,7,ATL 40,0,0,Michael Vick sacked by Steve Foley for -1 yards,1.260,0.430
2,12:09,3,8,ATL 39,0,0,"Penalty on DeQuincy Scott: Neutral Zone Infraction, 5 yards (no play)",0.430,1.090
2,11:46,3,3,ATL 44,0,0,Michael Vick pass complete to Brian Finneran for 26 yards (tackle by Jerry Wilson),1.090,3.580
2,11:05,1,10,SDG 30,0,0,T.J. Duckett up the middle for 11 yards (tackle by Randall Godfrey),3.580,4.310
2,10:31,1,10,SDG 19,0,6,"Michael Vick pass complete to Alge Crumpler for 19 yards, touchdown",4.310,7.000
2,,,,SDG 2,0,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,0,7,"Jay Feely kicks off 69 yards, returned by Tim Dwight for 32 yards (tackle by Artie Ulmer)",0.000,1.140
2,10:18,1,10,SDG 33,0,7,LaDainian Tomlinson left end for 7 yards (tackle by Matt Stewart),1.140,1.540
2,9:43,2,3,SDG 40,0,7,LaDainian Tomlinson up the middle for 4 yards (tackle by Junior Glymph),1.540,1.860
2,9:02,1,10,SDG 44,0,7,Drew Brees sacked by Junior Glymph for -4 yards,1.860,0.780
2,8:22,2,14,SDG 40,0,7,Drew Brees pass complete to Eric Parker for 15 yards (tackle by Keith Brooking),0.780,2.590
2,7:38,1,10,ATL 45,0,7,LaDainian Tomlinson left tackle for 3 yards (tackle by Keith Brooking),2.590,2.450
2,6:56,2,7,ATL 42,0,7,Tim Dwight left end for -2 yards (tackle by Aaron Beasley and Keith Brooking),2.450,1.490
2,6:14,3,9,ATL 44,0,7,Drew Brees pass complete to Eric Parker for 14 yards (tackle by Kevin Mathis),1.490,3.580
2,5:31,1,10,ATL 30,0,7,LaDainian Tomlinson left tackle for 1 yard (tackle by Jamie Duncan),3.580,3.170
2,4:53,2,9,ATL 29,0,7,Drew Brees pass complete to Antonio Gates for 9 yards (tackle by Keith Brooking),3.170,4.240
2,4:24,1,10,ATL 20,0,7,Drew Brees pass complete to LaDainian Tomlinson for 5 yards (tackle by Cory Hall),4.240,4.450
2,3:57,2,5,ATL 15,0,7,LaDainian Tomlinson up the middle for 3 yards (tackle by Brady Smith),4.450,4.340
2,3:12,,,,0,7,Timeout #2 by San Diego Chargers,0.000,4.340
